64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
1 13 2 5 1.44417 5.78632 4.00667
1 13 3 6 0.550087 5.04044 9.16298
1 13 4 7 0.33077 4.67615 14.1372
1 13 5 8 0.247386 4.2669 17.248
1 13 6 9 0.233174 4.02178 17.248
1 13 7 10 0.315119 4.4549 14.1372
1 13 8 11 0.559737 5.12885 9.16298
1 13 9 12 1.49052 5.97204 4.00667
1 23 2 7 1.54325 5.71585 3.70377
1 23 3 8 0.591479 4.97094 8.40426
1 23 4 9 0.330723 4.57445 13.8317
1 23 5 10 0.214646 4.20783 19.6035
1 23 6 11 0.155303 3.91856 25.2317
1 23 7 12 0.123579 3.72705 30.1593
1 23 8 13 0.109658 3.71002 33.8325
1 23 9 14 0.105041 3.76024 35.7978
1 23 10 15 0.102041 3.65284 35.7978
1 23 11 16 0.111539 3.77365 33.8325
1 23 12 17 0.130763 3.94371 30.1593
1 23 13 18 0.164621 4.15366 25.2317
1 23 14 19 0.223239 4.37627 19.6035
1 23 15 20 0.33224 4.59544 13.8317
1 23 16 21 0.638216 5.36374 8.40426
1 23 17 22 1.62509 6.01896 3.70377
1 57 4 16 0.386706 4.46334 11.542
1 57 5 17 0.255637 4.15538 16.255
1 57 6 18 0.184368 3.93458 21.3409
1 57 7 19 0.142262 3.80602 26.7536
1 57 8 20 0.116367 3.77491 32.4396
1 57 9 21 0.100065 3.83629 38.3381
1 57 10 22 0.0860028 3.81689 44.381
1 57 11 23 0.0758775 3.8313 50.4932
1 57 12 24 0.0681981 3.85956 56.5934
1 57 13 25 0.0616424 3.85849 62.5948
1 57 14 26 0.0567945 3.88511 68.4065
1 57 15 27 0.0535885 3.96211 73.9358
1 57 16 28 0.0500435 3.9579 79.0892
1 57 17 29 0.0472801 3.96092 83.7758
1 57 18 30 0.0449919 3.9552 87.9092
1 57 19 31 0.0433894 3.96625 91.4105
1 57 20 32 0.0424412 3.99841 94.2106
1 57 21 33 0.0417396 4.01756 96.2531
1 57 22 34 0.0412843 4.02505 97.4958
1 57 23 35 0.041209 4.03489 97.913
1 57 24 36 0.0411762 4.01451 97.4958
1 57 25 37 0.041838 4.02704 96.2531
1 57 26 38 0.0424376 3.99807 94.2106
1 57 27 39 0.0435408 3.98009 91.4105
1 57 28 40 0.0452529 3.97815 87.9092
1 57 29 41 0.0472954 3.96221 83.7758
1 57 30 42 0.0499935 3.95394 79.0892
1 57 31 43 0.0533356 3.94341 73.9358
1 57 32 44 0.0571309 3.90813 68.4065
1 57 33 45 0.0622429 3.89608 62.5948
1 57 34 46 0.0683975 3.87085 56.5934
1 57 35 47 0.0756459 3.81961 50.4932
1 57 36 48 0.0861503 3.82344 44.381
1 57 37 49 0.0997976 3.82605 38.3381
1 57 38 50 0.11774 3.81944 32.4396
1 57 39 51 0.146032 3.90688 26.7536
1 57 40 52 0.185431 3.95727 21.3409
1 57 41 53 0.252656 4.10692 16.255
1 57 42 54 0.37256 4.30007 11.542
2 14 3 6 1.48875 5.96492 4.00667
2 14 4 7 0.56608 5.18698 9.16298
2 14 5 8 0.321964 4.55165 14.1372
2 14 6 9 0.235296 4.05837 17.248
2 14 7 10 0.238175 4.10803 17.248
2 14 8 11 0.314483 4.4459 14.1372
2 14 9 12 0.534832 4.90066 9.16298
2 14 10 13 1.40058 5.61168 4.00667
2 24 3 8 1.58092 5.85535 3.70377
2 24 4 9 0.601913 5.05863 8.40426
2 24 5 10 0.325807 4.50645 13.8317
2 24 6 11 0.208831 4.09382 19.6035
2 24 7 12 0.15104 3.81099 25.2317
2 24 8 13 0.124118 3.7433 30.1593
2 24 9 14 0.111792 3.7822 33.8325
2 24 10 15 0.102115 3.65549 35.7978
2 24 11 16 0.104186 3.72961 35.7978
2 24 12 17 0.113938 3.85482 33.8325
2 24 13 18 0.132775 4.00441 30.1593
2 24 14 19 0.165497 4.17576 25.2317
2 24 15 20 0.221287 4.33801 19.6035
2 24 16 21 0.353594 4.8908 13.8317
2 24 17 22 0.655031 5.50505 8.40426
2 24 18 23 1.77216 6.56367 3.70377
2 58 5 17 0.380822 4.39543 11.542
2 58 6 18 0.249719 4.05918 16.255
2 58 7 19 0.180494 3.85192 21.3409
2 58 8 20 0.14154 3.78671 26.7536
2 58 9 21 0.118254 3.8361 32.4396
2 58 10 22 0.0991622 3.80169 38.3381
2 58 11 23 0.0858121 3.80843 44.381
2 58 12 24 0.0759616 3.83554 50.4932
2 58 13 25 0.0676622 3.82924 56.5934
2 58 14 26 0.0615917 3.85532 62.5948
2 58 15 27 0.0575102 3.93407 68.4065
2 58 16 28 0.0531753 3.93156 73.9358
2 58 17 29 0.0497713 3.93637 79.0892
2 58 18 30 0.0469038 3.9294 83.7758
2 58 19 31 0.0448474 3.9425 87.9092
2 58 20 32 0.0435083 3.97711 91.4105
2 58 21 33 0.0424608 4.00026 94.2106
2 58 22 34 0.0416784 4.01168 96.2531
2 58 23 35 0.0412666 4.02332 97.4958
2 58 24 36 0.0409572 4.01024 97.913
2 58 25 37 0.041304 4.02697 97.4958
2 58 26 38 0.0415678 4.00103 96.2531
2 58 27 39 0.0423331 3.98823 94.2106
2 58 28 40 0.0436404 3.98919 91.4105
2 58 29 41 0.0452171 3.975 87.9092
2 58 30 42 0.0473752 3.9689 83.7758
2 58 31 43 0.0500452 3.95803 79.0892
2 58 32 44 0.0531077 3.92656 73.9358
2 58 33 45 0.0572101 3.91354 68.4065
2 58 34 46 0.0620828 3.88606 62.5948
2 58 35 47 0.0677461 3.83398 56.5934
2 58 36 48 0.0759356 3.83423 50.4932
2 58 37 49 0.086268 3.82866 44.381
2 58 38 50 0.0994545 3.8129 38.3381
2 58 39 51 0.11944 3.87459 32.4396
2 58 40 52 0.145717 3.89846 26.7536
2 58 41 53 0.187286 3.99685 21.3409
2 58 42 54 0.252478 4.10403 16.255
2 58 43 55 0.372908 4.30409 11.542
3 15 4 7 1.55234 6.21971 4.00667
3 15 5 8 0.563883 5.16685 9.16298
3 15 6 9 0.311356 4.40169 14.1372
3 15 7 10 0.239493 4.13076 17.248
3 15 8 11 0.247581 4.27026 17.248
3 15 9 12 0.327405 4.62858 14.1372
3 15 10 13 0.557621 5.10947 9.16298
3 15 11 14 1.51778 6.08126 4.00667
3 25 4 9 1.63444 6.05361 3.70377
3 25 5 10 0.600786 5.04916 8.40426
3 25 6 11 0.318498 4.40536 13.8317
3 25 7 12 0.202095 3.96177 19.6035
3 25 8 13 0.150831 3.80573 25.2317
3 25 9 14 0.126519 3.81573 30.1593
3 25 10 15 0.108342 3.66547 33.8325
3 25 11 16 0.10327 3.69683 35.7978
3 25 12 17 0.105655 3.78221 35.7978
3 25 13 18 0.114619 3.87784 33.8325
3 25 14 19 0.132493 3.99589 30.1593
3 25 15 20 0.162471 4.09943 25.2317
3 25 16 21 0.226723 4.44457 19.6035
