64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1692
# a b m n r rhoa k
1 4 2 5 3.85275 9.68301 2.51327
1 4 3 6 -0.95398 14.9851 -15.708
1 4 5 8 -1.90899 9.32907 -4.88692
1 4 6 9 -0.542555 7.5755 -13.9626
1 4 7 10 -0.224591 6.35015 -28.2743
1 4 8 11 -0.119884 5.85866 -48.8692
1 4 9 12 -0.0709357 5.44747 -76.7945
1 4 10 13 -0.0448789 5.07568 -113.097
1 4 11 14 -0.0296313 4.70619 -158.825
1 4 12 15 -0.0206378 4.43764 -215.025
1 4 13 16 -0.0145247 4.10675 -282.743
1 4 14 17 -0.0112019 4.06662 -363.028
1 4 15 18 -0.00899246 4.1089 -456.927
1 4 16 19 -0.0070392 3.98057 -565.487
1 4 17 20 -0.00540574 3.72863 -689.754
1 4 18 21 -0.00442711 3.67794 -830.777
1 4 19 22 -0.00358161 3.54437 -989.602
1 4 20 23 -0.00311695 3.63834 -1167.28
1 4 21 24 -0.00267564 3.65184 -1364.85
1 4 22 25 -0.00233423 3.69593 -1583.36
1 4 23 26 -0.00193288 3.52532 -1823.87
1 4 24 27 -0.00168055 3.50801 -2087.41
1 4 25 28 -0.00146338 3.47559 -2375.04
1 4 26 29 -0.00134911 3.62616 -2687.81
1 4 27 30 -0.00114054 3.45213 -3026.75
1 4 28 31 -0.00102829 3.48889 -3392.92
1 4 30 33 -0.000834356 3.51358 -4211.13
1 4 31 34 -0.000756205 3.5279 -4665.27
1 4 34 37 -0.000570018 3.54571 -6220.35
1 4 35 38 -0.000466244 3.17346 -6806.44
1 4 36 39 -0.000410807 3.05152 -7428.12
1 4 38 41 -0.000396045 3.47826 -8782.5
