64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
1 13 2 5 1.93621 7.75776 4.00667
1 13 3 6 0.719408 6.59192 9.16298
1 13 4 7 0.436543 6.17148 14.1372
1 13 5 8 0.303557 5.23574 17.248
1 13 6 9 0.275852 4.75788 17.248
1 13 7 10 0.380047 5.37279 14.1372
1 13 8 11 0.719032 6.58848 9.16298
1 13 9 12 2.10911 8.45051 4.00667
1 23 2 7 2.06611 7.65241 3.70377
1 23 3 8 0.775367 6.51638 8.40426
1 23 4 9 0.42975 5.94416 13.8317
1 23 5 10 0.26406 5.1765 19.6035
1 23 6 11 0.189598 4.78387 25.2317
1 23 7 12 0.144017 4.34346 30.1593
1 23 8 13 0.129935 4.39605 33.8325
1 23 9 14 0.124311 4.45005 35.7978
1 23 10 15 0.116972 4.18733 35.7978
1 23 11 16 0.128646 4.35241 33.8325
1 23 12 17 0.151284 4.56262 30.1593
1 23 13 18 0.189827 4.78965 25.2317
1 23 14 19 0.274027 5.3719 19.6035
1 23 15 20 0.402485 5.56704 13.8317
1 23 16 21 0.795038 6.6817 8.40426
1 23 17 22 2.33392 8.6443 3.70377
1 57 4 16 0.497222 5.73892 11.542
1 57 5 17 0.311708 5.06682 16.255
1 57 6 18 0.221484 4.72667 21.3409
1 57 7 19 0.163816 4.38266 26.7536
1 57 8 20 0.133272 4.32328 32.4396
1 57 9 21 0.11444 4.3874 38.3381
1 57 10 22 0.0961695 4.2681 44.381
1 57 11 23 0.0833956 4.21091 50.4932
1 57 12 24 0.0741649 4.19724 56.5934
1 57 13 25 0.0658458 4.1216 62.5948
1 57 14 26 0.0605659 4.14311 68.4065
1 57 15 27 0.0570807 4.22031 73.9358
1 57 16 28 0.0529005 4.18385 79.0892
1 57 17 29 0.0496528 4.1597 83.7758
1 57 18 30 0.0476288 4.18701 87.9092
1 57 19 31 0.0455998 4.1683 91.4105
1 57 20 32 0.0445084 4.19317 94.2106
1 57 21 33 0.0436969 4.20596 96.2531
1 57 22 34 0.0431207 4.20408 97.4958
1 57 23 35 0.0431021 4.22026 97.913
1 57 24 36 0.0431943 4.21127 97.4958
1 57 25 37 0.0438535 4.22103 96.2531
1 57 26 38 0.0441419 4.15863 94.2106
1 57 27 39 0.0453544 4.14587 91.4105
1 57 28 40 0.0475024 4.17589 87.9092
1 57 29 41 0.0497743 4.16988 83.7758
