64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa k
1 13 2 5 2.41932 9.69342 4.00667
1 13 3 6 0.824591 7.55571 9.16298
1 13 4 7 0.450712 6.3718 14.1372
1 13 5 8 0.334169 5.76372 17.248
1 13 6 9 0.306695 5.28986 17.248
1 13 7 10 0.432465 6.11383 14.1372
1 13 8 11 0.779886 7.14608 9.16298
1 13 9 12 2.23914 8.97151 4.00667
1 23 2 7 2.55923 9.47882 3.70377
1 23 3 8 0.88053 7.40021 8.40426
1 23 4 9 0.449531 6.21777 13.8317
1 23 5 10 0.285405 5.59495 19.6035
1 23 6 11 0.197381 4.98025 25.2317
1 23 7 12 0.154123 4.64825 30.1593
1 23 8 13 0.134631 4.5549 33.8325
1 23 9 14 0.12833 4.59392 35.7978
1 23 10 15 0.123205 4.41045 35.7978
1 23 11 16 0.135988 4.60082 33.8325
1 23 12 17 0.163362 4.92689 30.1593
1 23 13 18 0.20577 5.19193 25.2317
1 23 14 19 0.295251 5.78796 19.6035
1 23 15 20 0.449562 6.2182 13.8317
1 23 16 21 0.865359 7.2727 8.40426
1 23 17 22 2.55043 9.4462 3.70377
1 55 2 9 2.60727 9.33051 3.57865
1 55 5 12 0.291272 5.63643 19.3511
1 55 8 15 0.109046 4.55849 41.8032
1 55 11 18 0.0626805 4.3301 69.0821
1 55 14 21 0.0418924 4.11991 98.345
1 55 17 24 0.0328012 4.12786 125.845
1 55 20 27 0.0281154 4.1443 147.403
1 55 23 30 0.0260936 4.15659 159.296
1 55 26 33 0.0262878 4.18754 159.296
1 55 29 36 0.0289155 4.26224 147.403
1 55 32 39 0.0324444 4.08296 125.845
1 55 35 42 0.0419802 4.12855 98.345
1 55 38 45 0.0609206 4.20852 69.0821
1 55 41 48 0.108662 4.5424 41.8032
1 55 44 51 0.263507 5.09916 19.3511
1 55 47 54 2.4505 8.76948 3.57865
2 14 3 6 2.06731 8.28304 4.00667
2 14 4 7 0.742341 6.80205 9.16298
2 14 5 8 0.425881 6.02075 14.1372
2 14 6 9 0.303741 5.23891 17.248
2 14 7 10 0.318015 5.48512 17.248
2 14 8 11 0.424644 6.00327 14.1372
2 14 9 12 0.769908 7.05465 9.16298
2 14 10 13 2.09799 8.40594 4.00667
2 24 3 8 2.18557 8.09486 3.70377
2 24 4 9 0.789026 6.63118 8.40426
2 24 5 10 0.4276 5.91442 13.8317
2 24 6 11 0.264596 5.18701 19.6035
2 24 7 12 0.189585 4.78355 25.2317
2 24 8 13 0.152664 4.60424 30.1593
2 24 9 14 0.136061 4.60327 33.8325
2 24 10 15 0.121583 4.35238 35.7978
2 24 11 16 0.124402 4.4533 35.7978
2 24 12 17 0.138006 4.66908 33.8325
2 24 13 18 0.159564 4.81235 30.1593
2 24 14 19 0.208043 5.24929 25.2317
2 24 15 20 0.285181 5.59055 19.6035
2 24 16 21 0.45894 6.34791 13.8317
2 24 17 22 0.934652 7.85506 8.40426
2 24 18 23 2.8269 10.4702 3.70377
2 56 3 10 2.2365 8.00366 3.57865
2 56 6 13 0.271512 5.25406 19.3511
2 56 9 16 0.1105 4.61925 41.8032
2 56 12 19 0.0621995 4.29687 69.0821
2 56 15 22 0.0426875 4.1981 98.345
2 56 18 25 0.0329502 4.14661 125.845
2 56 21 28 0.0282173 4.15933 147.403
2 56 24 31 0.0261917 4.17222 159.296
2 56 27 34 0.0267153 4.25563 159.296
2 56 30 37 0.0287009 4.23061 147.403
2 56 33 40 0.0325729 4.09914 125.845
2 56 36 43 0.0421934 4.14951 98.345
