64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
1 13 2 5 1.95322 7.82592 4.00667
1 13 3 6 0.732757 6.71424 9.16298
1 13 4 7 0.448275 6.33734 14.1372
1 13 5 8 0.314778 5.42928 17.248
1 13 6 9 0.295033 5.08872 17.248
1 13 7 10 0.393615 5.5646 14.1372
1 13 8 11 0.733135 6.7177 9.16298
1 13 9 12 2.09003 8.37404 4.00667
1 23 2 7 2.08501 7.72241 3.70377
1 23 3 8 0.790245 6.64142 8.40426
1 23 4 9 0.444161 6.14349 13.8317
1 23 5 10 0.270558 5.30389 19.6035
1 23 6 11 0.194103 4.89755 25.2317
1 23 7 12 0.148994 4.49355 30.1593
1 23 8 13 0.132087 4.46883 33.8325
1 23 9 14 0.125519 4.49328 35.7978
1 23 10 15 0.121386 4.34533 35.7978
1 23 11 16 0.131982 4.46529 33.8325
1 23 12 17 0.155744 4.69713 30.1593
1 23 13 18 0.197492 4.98307 25.2317
1 23 14 19 0.281766 5.52362 19.6035
1 23 15 20 0.42356 5.85854 13.8317
1 23 16 21 0.818874 6.88203 8.40426
1 23 17 22 2.28666 8.46928 3.70377
1 57 4 16 0.511389 5.90243 11.542
1 57 5 17 0.319303 5.19027 16.255
1 57 6 18 0.226785 4.83981 21.3409
1 57 7 19 0.16839 4.50504 26.7536
1 57 8 20 0.135536 4.39672 32.4396
1 57 9 21 0.114824 4.40215 38.3381
1 57 10 22 0.0972473 4.31593 44.381
1 57 11 23 0.0842294 4.25301 50.4932
1 57 12 24 0.0746412 4.2242 56.5934
1 57 13 25 0.0663495 4.15313 62.5948
1 57 14 26 0.0606771 4.15071 68.4065
1 57 15 27 0.0568599 4.20398 73.9358
1 57 16 28 0.0529361 4.18668 79.0892
1 57 17 29 0.0496828 4.16221 83.7758
1 57 18 30 0.0475936 4.18392 87.9092
1 57 19 31 0.045731 4.18029 91.4105
1 57 20 32 0.0445246 4.19469 94.2106
1 57 21 33 0.0436286 4.19939 96.2531
1 57 22 34 0.0432256 4.21432 97.4958
1 57 23 35 0.0431037 4.22041 97.913
1 57 24 36 0.0431163 4.20366 97.4958
1 57 25 37 0.0436145 4.19803 96.2531
1 57 26 38 0.0441975 4.16387 94.2106
1 57 27 39 0.0454621 4.15571 91.4105
1 57 28 40 0.0474069 4.1675 87.9092
1 57 29 41 0.0498212 4.17381 83.7758
1 57 30 42 0.0531711 4.20526 79.0892
1 57 31 43 0.0566703 4.18996 73.9358
1 57 32 44 0.0609714 4.17084 68.4065
1 57 33 45 0.0668673 4.18554 62.5948
1 57 34 46 0.074211 4.19986 56.5934
1 57 35 47 0.083064 4.19417 50.4932
1 57 36 48 0.0960562 4.26307 44.381
1 57 37 49 0.112676 4.31978 38.3381
1 57 38 50 0.134596 4.36624 32.4396
1 57 39 51 0.169406 4.53222 26.7536
1 57 40 52 0.222631 4.75116 21.3409
1 57 41 53 0.313514 5.09617 16.255
1 57 42 54 0.475797 5.49163 11.542
2 14 3 6 1.90627 7.63781 4.00667
2 14 4 7 0.77135 7.06786 9.16298
2 14 5 8 0.411517 5.81768 14.1372
2 14 6 9 0.299958 5.17367 17.248
2 14 7 10 0.295395 5.09495 17.248
2 14 8 11 0.404579 5.71961 14.1372
2 14 9 12 0.728423 6.67453 9.16298
2 14 10 13 1.89709 7.601 4.00667
2 24 3 8 2.02982 7.51799 3.70377
2 24 4 9 0.81362 6.83788 8.40426
2 24 5 10 0.414285 5.73026 13.8317
2 24 6 11 0.264604 5.18716 19.6035
2 24 7 12 0.184173 4.64699 25.2317
