64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
2 24 18 23 2.50822 9.28988 3.70377
2 58 5 17 0.458736 5.29471 11.542
2 58 6 18 0.298072 4.84516 16.255
2 58 7 19 0.206315 4.40297 21.3409
2 58 8 20 0.160313 4.28895 26.7536
2 58 9 21 0.135974 4.41094 32.4396
2 58 10 22 0.109907 4.21362 38.3381
2 58 11 23 0.0936727 4.15729 44.381
2 58 12 24 0.0820853 4.14475 50.4932
2 58 13 25 0.0721548 4.08349 56.5934
2 58 14 26 0.0656529 4.10953 62.5948
2 58 15 27 0.0613153 4.19437 68.4065
2 58 16 28 0.0561407 4.15081 73.9358
2 58 17 29 0.0523475 4.14012 79.0892
2 58 18 30 0.0496577 4.16011 83.7758
2 58 19 31 0.0470802 4.13879 87.9092
2 58 20 32 0.0455248 4.16144 91.4105
2 58 21 33 0.0442706 4.17076 94.2106
2 58 22 34 0.0434038 4.17775 96.2531
2 58 23 35 0.0429775 4.19013 97.4958
2 58 24 36 0.0427522 4.18599 97.913
2 58 25 37 0.0432167 4.21345 97.4958
2 58 26 38 0.0428533 4.12476 96.2531
2 58 27 39 0.0436906 4.11611 94.2106
2 58 28 40 0.0454825 4.15757 91.4105
2 58 29 41 0.0472079 4.15001 87.9092
2 58 30 42 0.0501259 4.19934 83.7758
2 58 31 43 0.0528286 4.17817 79.0892
2 58 32 44 0.0555377 4.10622 73.9358
2 58 33 45 0.0603597 4.129 68.4065
2 58 34 46 0.0661087 4.13806 62.5948
2 58 35 47 0.0723324 4.09353 56.5934
2 58 36 48 0.0820705 4.14401 50.4932
