64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa k
49 52 63 2 -0.0259204 3.92306 -151.35
49 52 64 3 -0.022186 3.87269 -174.556
50 53 51 54 3.60475 9.05972 2.51327
50 53 52 55 -0.767735 12.0596 -15.708
50 53 54 57 -1.81194 8.85481 -4.88692
50 53 55 58 -0.558222 7.79426 -13.9626
50 53 56 59 -0.240979 6.81351 -28.2743
50 53 57 60 -0.130325 6.36888 -48.8692
50 53 58 61 -0.0750128 5.76057 -76.7945
50 53 59 62 -0.0463937 5.247 -113.097
50 53 60 63 -0.0302695 4.80756 -158.825
50 53 61 64 -0.0211417 4.54599 -215.025
50 53 62 1 -0.0384687 4.1738 -108.498
50 53 63 2 -0.0318647 4.11918 -129.271
50 53 64 3 -0.0267305 4.04567 -151.35
51 54 52 55 3.75732 9.44317 2.51327
51 54 53 56 -0.761829 11.9668 -15.708
51 54 55 58 -1.94488 9.5045 -4.88692
51 54 56 59 -0.564638 7.88383 -13.9626
51 54 57 60 -0.253393 7.16452 -28.2743
51 54 58 61 -0.130017 6.35385 -48.8692
51 54 59 62 -0.0744163 5.71476 -76.7945
51 54 60 63 -0.0457911 5.17885 -113.097
51 54 61 64 -0.0305198 4.84731 -158.825
51 54 62 1 -0.0481702 4.29637 -89.1916
51 54 63 2 -0.0386603 4.19458 -108.498
51 54 64 3 -0.0315773 4.08202 -129.271
52 55 53 56 3.50094 8.79883 2.51327
52 55 54 57 -0.898867 14.1194 -15.708
52 55 56 59 -1.86335 9.10603 -4.88692
52 55 57 60 -0.566488 7.90966 -13.9626
52 55 58 61 -0.24184 6.83787 -28.2743
52 55 59 62 -0.124377 6.07823 -48.8692
52 55 60 63 -0.0709563 5.44906 -76.7945
52 55 61 64 -0.0446181 5.04619 -113.097
52 55 62 1 -0.0611247 4.36961 -71.4868
52 55 63 2 -0.0473593 4.22405 -89.1916
52 55 64 3 -0.0375552 4.07468 -108.498
53 56 54 57 3.54288 8.90424 2.51327
53 56 55 58 -0.773258 12.1463 -15.708
53 56 57 60 -1.95771 9.56717 -4.88692
53 56 58 61 -0.561294 7.83714 -13.9626
53 56 59 62 -0.241037 6.81517 -28.2743
53 56 60 63 -0.122941 6.00802 -48.8692
53 56 61 64 -0.0715708 5.49624 -76.7945
53 56 62 1 -0.0828791 4.59985 -55.5008
53 56 63 2 -0.0612167 4.37619 -71.4868
53 56 64 3 -0.0465915 4.15557 -89.1916
54 57 55 58 3.53946 8.89563 2.51327
54 57 56 59 -0.887336 13.9382 -15.708
54 57 58 61 -1.83288 8.95713 -4.88692
54 57 59 62 -0.540488 7.54664 -13.9626
54 57 60 63 -0.23039 6.51412 -28.2743
54 57 61 64 -0.120959 5.9112 -48.8692
54 57 62 1 -0.118478 4.89681 -41.3309
54 57 63 2 -0.0828677 4.59922 -55.5008
54 57 64 3 -0.0603034 4.3109 -71.4868
55 58 56 59 3.66159 9.20258 2.51327
