! Data File written by ERTLab DACQ 
#IVersion     	             11.5.12       	             DAS-1 Version 	             Version10.03
#IDate        	             10/25/2019 
! ----------------------------------------------------!
#ST
! ----------------------------------------------------!
#ITitle       	             ""
#IInfo        	             ""
#SName        	             "NOBLE_DD2_CTR"
#SGDflt       	             0             	             !Gain Index for Fixed Gain Settings
#SMuxN        	              1            	             !Number of Mux
#SCltSP       	             !Measure SP
#SXcale       	             1.0           	             !Multiply the X,Y,Z locations by this amount
#SOffset	     0             	             !Shift the MUX pin numbers by this amount
#SBtwnRd	     0
#SZMode       	              0            	             !0=Normal, 1=Marine, 2=Magnetic
!TX Section 
#XMXVlt       	             480           	             !Maximum Tx Voltage 
#XCurMx       	             2500          	             !Maximum Tx Current 
#XPowMx       	             250           	             !Maximum Tx Power 
#XVTrgt       	             200           	             !Target Tx Voltage 
#XITrgt       	             2000          	             !Target Tx Current 
#XBtVmn       	             11            	             !Minimum Tx Battery Voltage 
#XTmpMx       	             70            	             !Maximum Tx Temperature 
#XLrRes       	             1             	             !Minimum Tx Electrode Pair Resistance 
#XUpRes       	             200000        	             !Maximum Tx Electrode Pair Resistance 
#XRescheck
!TDIP Section 
#TFrequ       	             00.500000
#TStcks       	             2             	             !Number of Stacks for TDIP
#TRDely       	             30            	             !Pre-Resistivity Measurement Delay (ms)
#TLngtR       	             100.000       	             !Length of Resistivity Measurement Window (ms)
#TIPDly       	             2             	             !IP Delay Before First IP Window (ms) 
#TChrg        	             !Display IP Values as Chargebility 
!List of IP Windows
#elec_start
!Cbl# El# Elec-X  Elec-Y  Elec-Z  Terrn-Z  Type  El.Num
#data_i_curr_col= 15
#data_sp_col= 14
#data_contact_r_col= 16
#data_tx_v_col= 23
!End ERTLab Header Info

!---------------------------------------------------!
!Batteries   Main 12.6  TX  12.2  TX Voltage      0
!Temperature Main 16.8  TXp 12.3  TXs 12.0


!---------------------------------------------------!
!Begin Data Section!
#data_start
! ID      A      B      M      N        V/I,      Std.     Amp.,     Std.       SP     Current     ContactR  Date_And_Time    Gains     Tx_V
! num   Ca El  Ca El  Ca El  Ca El     (Ohms)    (Ohms)   (Volts)   (Volts)    (mV)      (ma)        (Ohms)
000001 001,01 001,04 001,02 001,05 +2.84153955 +.0041483 +2.231116 +.0032572 -34.38829 +785.178600 +162.0000 20191025_140015 CH 01 GN 1   120
000002 001,01 001,04 001,03 001,06 -.745561162 +.0019527 -.5853986 +.0015332 +69.71535 +785.178600 +162.0000 20191025_140015 CH 02 GN 2   120
000003 001,01 001,04 001,05 001,08 -1.42488254 +.0017688 -1.118787 +.0013888 -5.285360 +785.178600 +162.0000 20191025_140015 CH 03 GN 1   120
000004 001,01 001,04 001,06 001,09 -.417782591 +.0005416 -.3280339 +.0004252 -95.54701 +785.178600 +162.0000 20191025_140015 CH 04 GN 2   120
000005 001,01 001,04 001,07 001,10 -.179722919 +.0002345 -.1411145 +.0001841 +7.650400 +785.178600 +162.0000 20191025_140015 CH 05 GN 3   120
000006 001,01 001,04 001,08 001,11 -.095944107 +.0001172 -.0753332 +.0000920 +25.49093 +785.178600 +162.0000 20191025_140016 CH 06 GN 3   120
