64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa
1 13 2 5 2.25059999 9.017408967221554
1 13 3 6 0.814045659 7.459082930836431
1 13 4 7 0.46263445 6.5403404523790085
1 13 5 8 0.332303231 5.731552725424523
1 13 6 9 0.313973036 5.4153942613805395
1 13 7 10 0.423057188 5.980830092411214
1 13 8 11 0.776766138 7.117491478702838
1 13 9 12 2.14936591 8.611797528122409
1 23 2 7 2.39061695 8.854301058302433
1 23 3 8 0.872261093 7.330709538522433
1 23 4 9 0.460422363 6.3684120909964586
1 23 5 10 0.284646443 5.580077407003417
1 23 6 11 0.199611254 5.036529087583077
1 23 7 12 0.153467963 4.628484721173024
1 23 8 13 0.135393587 4.580708442825523
1 23 9 14 0.127239117 4.554876051509904
1 23 10 15 0.123789927 4.431402757301901
1 23 11 16 0.136300651 4.611396718504216
1 23 12 17 0.162777438 4.90925187255329
1 23 13 18 0.20510489 5.175142802772671
1 23 14 19 0.295556266 5.79394853848531
1 23 15 20 0.453958252 6.279002614050737
1 23 16 21 0.870104834 7.312587775961111
1 23 17 22 2.50354014 9.272542851795901
1 55 2 9 2.44026083 8.732836257517732
1 55 5 12 0.291206064 5.635166600147575
1 55 8 15 0.109709325 4.5862002470838
1 55 11 18 0.062481495 4.316352251330972
1 55 14 21 0.041853323 4.116066609784278
1 55 17 24 0.032762552 4.122998487473665
1 55 20 27 0.028011101 4.128930315046162
1 55 23 30 0.025866011 4.120340150709651
1 55 26 33 0.026409939 4.20698545436684
1 55 29 36 0.028673869 4.226624543025366
1 55 32 39 0.032533692 4.094197634785413
1 55 35 42 0.041693318 4.1003309120978955
1 55 38 45 0.061392204 4.241101752600035
1 55 41 48 0.108784784 4.547551479874276
1 55 44 51 0.270816034 5.240596464987179
1 55 47 54 2.36620888 8.467830342596788
2 14 3 6 2.15419914 8.63116268040904
2 14 4 7 0.794953854 7.284145130702105
2 14 5 8 0.434910399 6.148400915106939
2 14 6 9 0.316132468 5.452640057419667
2 14 7 10 0.316827668 5.464630838980004
2 14 8 11 0.431138666 6.095079296028479
2 14 9 12 0.765590445 7.015088843205743
2 14 10 13 2.14197137 8.582170054737198
2 24 3 8 2.2817864 8.451217471849723
2 24 4 9 0.842979425 7.084618769790361
2 24 5 10 0.438730352 6.068375263440304
2 24 6 11 0.273898367 5.3693770890080295
2 24 7 12 0.191712721 4.837235759143114
2 24 8 13 0.155694532 4.6956364601788865
2 24 9 14 0.136122609 4.605373106081735
2 24 10 15 0.123081673 4.406048846813933
2 24 11 16 0.1250795 4.477566588935327
2 24 12 17 0.137745271 4.660271877049758
2 24 13 18 0.159062565 4.797213942385428
2 24 14 19 0.20785233 5.244465354478043
2 24 15 20 0.28665984 5.619547111920925
2 24 16 21 0.459555883 6.356427221989115
2 24 17 22 0.920931059 7.7397446162749635
2 24 18 23 2.67652794 9.913250289519628
2 56 3 10 2.3334962 8.350763152699479
2 56 6 13 0.281042242 5.4384851523867725
2 56 9 16 0.111199497 4.648494196979103
2 56 12 19 0.062491735 4.317059651931
2 56 15 22 0.042780171 4.207217510876298
2 56 18 25 0.032833789 4.1319632971518665
2 56 21 28 0.02817783 4.153506729321964
2 56 24 31 0.026085421 4.155291184808693
2 56 27 34 0.026628316 4.241771936174627
2 56 30 37 0.028532592 4.205799838986821
