64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa
2 58 27 39 0.044189422 4.163112049518077
2 58 28 40 0.045802556 4.18683350744447
2 58 29 41 0.046293622 4.06963620904336
2 58 30 42 0.050061769 4.193964952429579
2 58 31 43 0.053511319 4.232167457577629
2 58 32 44 0.05479054 4.050980113828399
2 58 33 45 0.059518659 4.071465400525806
2 58 34 46 0.065362158 4.091328053164673
2 58 35 47 0.071641239 4.0544216988982855
2 58 36 48 0.081097007 4.09485032834266
2 58 37 49 0.093168193 4.1348967944403805
2 58 38 50 0.103794508 3.9792821347008838
2 58 39 51 0.127308211 4.129825019730879
2 58 40 52 0.154560211 4.1350424902363505
2 58 41 53 0.210156908 4.484946363274862
2 58 42 54 0.286569073 4.658182220209701
2 58 43 55 0.409026132 4.720960646162268
3 15 4 7 2.171792 8.701651445284167
3 15 5 8 0.725290839 6.645824416928601
3 15 6 9 0.353652352 4.999642339355793
3 15 7 10 0.299055471 5.158096701934158
3 15 8 11 0.29920789 5.160725618698606
3 15 9 12 0.466104569 6.58939810398768
3 15 10 13 0.767578928 7.033309270327459
3 15 11 14 2.28773292 9.166188322704093
3 25 4 9 2.26306789 8.381888371299823
3 25 5 10 0.756752669 6.359946641504747
3 25 6 11 0.378210677 5.231286839885221
3 25 7 12 0.240939739 4.72327136736151
3 25 8 13 0.164680572 4.155168981794079
3 25 9 14 0.153606064 4.632649749208736
3 25 10 15 0.11380322 3.850251568227751
3 25 11 16 0.114145142 4.086141007187257
3 25 12 17 0.11144946 3.9896416155395897
3 25 13 18 0.125588022 4.2489613093207845
3 25 14 19 0.147769418 4.456620652934776
3 25 15 20 0.180273472 4.548604185651744
3 25 16 21 0.248843996 4.878222771074812
3 25 17 22 0.371498717 5.138449196335999
3 25 18 23 0.880010013 7.395833481586172
3 25 19 24 2.43674821 9.025160745480182
3 59 6 18 0.439209892 5.069340204251742
3 59 7 19 0.28537209 4.6387252534473
3 59 8 20 0.194617849 4.153328207992697
3 59 9 21 0.170016996 4.548567176337147
3 59 10 22 0.127378476 4.132104386888204
3 59 11 23 0.108074048 4.143351480901146
3 59 12 24 0.092264904 4.094807932884878
3 59 13 25 0.08041264 4.060294423774481
3 59 14 26 0.071958967 4.072403008483782
3 59 15 27 0.068495613 4.287465890976409
3 59 16 28 0.059823691 4.092331583583685
3 59 17 29 0.056876381 4.205198349523976
3 59 18 30 0.051860592 4.101612778281745
3 59 19 31 0.048230771 4.0405716226819095
3 59 20 32 0.047038825 4.1351464236445805
3 59 21 33 0.044991509 4.1126953140276585
3 59 22 34 0.044194122 4.16355483934757
3 59 23 35 0.043595182 4.19616929881869
3 59 24 36 0.042807014 4.173504277704968
3 59 25 37 0.043175505 4.2274419705677495
3 59 26 38 0.042035684 4.098302838648224
3 59 27 39 0.043191124 4.157277483329949
3 59 28 40 0.044309973 4.174469231802142
3 59 29 41 0.044416248 4.060110431421412
3 59 30 42 0.047506894 4.176294004422138
3 59 31 43 0.050371695 4.219929252289751
3 59 32 44 0.051141744 4.0447596644098045
3 59 33 45 0.055016927 4.067718208306557
3 59 34 46 0.059706011 4.08428150220779
3 59 35 47 0.064360354 4.028620380493085
3 59 36 48 0.071819631 4.064517509716268
3 59 37 49 0.081026993 4.091315094904408
3 59 38 50 0.088994226 3.9496519999169966
3 59 39 51 0.10610629 4.067911417590524
3 59 40 52 0.124965028 4.0538131450591965
3 59 41 53 0.161634962 4.324317568237131
3 59 42 54 0.206953336 4.416579119354004
3 59 43 55 0.271699278 4.416473601892877
3 59 44 56 0.370456644 4.2757934044012265
4 16 5 8 2.07883861 8.329217989208464
4 16 6 9 0.656534113 6.015808009843016
4 16 7 10 0.379304644 5.362293073783025
4 16 8 11 0.26462381 4.564220801746346
4 16 9 12 0.318235978 5.4889213130583085
4 16 10 13 0.369856487 5.228722900987791
4 16 11 14 0.612736289 5.614489486988295
4 16 12 15 1.19170926 4.774784419795969
4 26 5 10 2.16629758 8.023473168795192
4 26 6 11 0.730321437 6.137811679745883
4 26 7 12 0.380076533 5.25709475206619
4 26 8 13 0.220074229 4.3142335458820265
4 26 9 14 0.191893972 4.841809028011279
4 26 10 15 0.131069893 3.9529748443737605
4 26 11 16 0.121153624 4.098934378152704
4 26 12 17 0.110219266 3.9456034194138563
4 26 13 18 0.114270679 4.090634951253832
4 26 14 19 0.124278357 4.204652020707484
4 26 15 20 0.142381987 4.294139561882085
4 26 16 21 0.171510154 4.327490871014983
4 26 17 22 0.223494954 4.38129185894892
4 26 18 23 0.389074423 5.381550634478349
4 26 19 24 0.672205198 5.649387661984094
4 26 20 25 1.45749551 5.3982316308198355
4 60 7 19 0.441094841 5.091096198191569
4 60 8 20 0.263836547 4.288664856297738
4 60 9 21 0.221067584 4.717790465868293
4 60 10 22 0.157022483 4.200917137253487
4 60 11 23 0.128876155 4.180688466085779
4 60 12 24 0.107327476 4.114729343958525
4 60 13 25 0.091569652 4.063951959686727
4 60 14 26 0.080438818 4.06161623571133
4 60 15 27 0.075756884 4.287340065831642
4 60 16 28 0.064782971 4.0550739866889565
4 60 17 29 0.061150473 4.1830921467045785
4 60 18 30 0.055179068 4.079706226067218
4 60 19 31 0.050721149 4.011495141966994
4 60 20 32 0.048991224 4.104279184233918
4 60 21 33 0.04644597 4.0830290029184075
4 60 22 34 0.045266337 4.13781747269461
4 60 23 35 0.044136194 4.158097407593778
4 60 24 36 0.043033797 4.142134279494368
4 60 25 37 0.043058468 4.198019987785705
4 60 26 38 0.041626084 4.075733557070813
4 60 27 39 0.042450113 4.138707927503639
4 60 28 40 0.04335377 4.172932657146534
4 60 29 41 0.042900168 4.041650654021902
