,ERT_dataset,ERT_dataset,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d000_025,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d025_050,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d050_075,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d075_100,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150,d100_150
,fvtk,datetime,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max,group,xmin,xmax,ymin,ymax,zmin,zmax,avg,std,min,max
datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02 12:20:15,inversion/./GRAD_MMDCCC20200402_1220_inv.vtk,2020-04-02 12:20:15,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-06 12:03:52,inversion/./GRAD_MMDCCC20200406_1203_inv.vtk,2020-04-06 12:03:52,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-10 15:12:17,inversion/./GRAD_MMDCCC20200410_1512_inv.vtk,2020-04-10 15:12:17,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-13 16:10:57,inversion/./GRAD_MMDCCC20200413_1610_inv.vtk,2020-04-13 16:10:57,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-16 12:12:55,inversion/./GRAD_MMDCCC20200416_1212_inv.vtk,2020-04-16 12:12:55,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-20 16:33:25,inversion/./GRAD_MMDCCC20200420_1633_inv.vtk,2020-04-20 16:33:25,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-23 15:00:49,inversion/./GRAD_MMDCCC20200423_1500_inv.vtk,2020-04-23 15:00:49,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-24 12:39:53,inversion/./GRAD_MMDCCC20200424_1239_inv.vtk,2020-04-24 12:39:53,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-25 15:06:27,inversion/./GRAD_MMDCCC20200425_1506_inv.vtk,2020-04-25 15:06:27,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-26 17:41:07,inversion/./GRAD_MMDCCC20200426_1741_inv.vtk,2020-04-26 17:41:07,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-27 14:26:59,inversion/./GRAD_MMDCCC20200427_1426_inv.vtk,2020-04-27 14:26:59,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-28 14:59:59,inversion/./GRAD_MMDCCC20200428_1459_inv.vtk,2020-04-28 14:59:59,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-04-30 15:01:11,inversion/./GRAD_MMDCCC20200430_1501_inv.vtk,2020-04-30 15:01:11,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-05-01 13:35:52,inversion/./GRAD_MMDCCC20200501_1335_inv.vtk,2020-05-01 13:35:52,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
2020-05-03 16:04:49,inversion/./GRAD_MMDCCC20200503_1604_inv.vtk,2020-05-03 16:04:49,,10.0,20.0,-0.25,-0.0,,,,,,,,10.0,20.0,-0.5,-0.25,,,,,,,,10.0,20.0,-0.75,-0.5,,,,,,,,10.0,20.0,-1.0,-0.75,,,,,,,,10.0,20.0,-1.5,-1.0,,,,,,
