64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1833
# a b m n r rhoa k
1 4 2 5 3.29878 8.29074 2.51327
1 4 3 6 -0.889572 13.9734 -15.708
1 4 5 8 -1.66272 8.12558 -4.88692
1 4 6 9 -0.49514 6.91346 -13.9626
1 4 7 10 -0.214338 6.06026 -28.2743
1 4 8 11 -0.115217 5.63058 -48.8692
1 4 9 12 -0.0683929 5.2522 -76.7945
1 4 10 13 -0.0436164 4.9329 -113.097
1 4 11 14 -0.0290186 4.60887 -158.825
1 4 12 15 -0.0202152 4.34677 -215.025
1 4 13 16 -0.0143897 4.06859 -282.743
1 4 14 17 -0.0110603 4.01519 -363.028
1 4 15 18 -0.00887987 4.05745 -456.927
1 4 16 19 -0.00689706 3.9002 -565.487
1 4 17 20 -0.00532832 3.67523 -689.754
1 4 18 21 -0.00433344 3.60012 -830.777
1 4 19 22 -0.00356051 3.52349 -989.602
1 4 20 23 -0.00310803 3.62793 -1167.28
1 4 21 24 -0.00266788 3.64124 -1364.85
1 4 22 25 -0.00228252 3.61406 -1583.36
1 4 23 26 -0.0018886 3.44456 -1823.87
1 4 24 27 -0.00161648 3.37427 -2087.41
1 4 25 28 -0.00143246 3.40215 -2375.04
1 4 26 29 -0.00129931 3.49229 -2687.81
1 4 27 30 -0.0011561 3.49924 -3026.75
1 4 28 31 -0.00102554 3.47958 -3392.92
1 4 29 32 -0.00092135 3.48949 -3787.36
1 4 30 33 -0.000816326 3.43766 -4211.13
1 4 31 34 -0.000757985 3.5362 -4665.27
1 4 32 35 -0.000698189 3.59624 -5150.82
1 4 34 37 -0.000558733 3.47552 -6220.35
