64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa k
1 13 2 5 2.34737 9.40514 4.00667
1 13 3 6 0.801878 7.34759 9.16298
1 13 4 7 0.455258 6.43606 14.1372
1 13 5 8 0.314295 5.42095 17.248
1 13 6 9 0.30372 5.23855 17.248
1 13 7 10 0.400813 5.66636 14.1372
1 13 8 11 0.756218 6.92921 9.16298
1 13 9 12 2.19207 8.78289 4.00667
1 23 2 7 2.47983 9.18474 3.70377
1 23 3 8 0.858185 7.21241 8.40426
1 23 4 9 0.454742 6.28985 13.8317
1 23 5 10 0.268881 5.27101 19.6035
1 23 6 11 0.189585 4.78356 25.2317
1 23 7 12 0.145838 4.39837 30.1593
1 23 8 13 0.128249 4.33898 33.8325
1 23 9 14 0.11887 4.25527 35.7978
1 23 10 15 0.117416 4.20322 35.7978
1 23 11 16 0.127461 4.31232 33.8325
1 23 12 17 0.152646 4.6037 30.1593
1 23 13 18 0.194728 4.91333 25.2317
1 23 14 19 0.28209 5.52996 19.6035
1 23 15 20 0.442304 6.1178 13.8317
1 23 16 21 0.840888 7.06704 8.40426
1 23 17 22 2.49413 9.23771 3.70377
1 55 2 9 2.52808 9.04711 3.57865
1 55 5 12 0.275822 5.33747 19.3511
1 55 8 15 0.104462 4.36686 41.8032
1 55 11 18 0.0593085 4.09715 69.0821
1 55 14 21 0.0401013 3.94376 98.345
1 55 17 24 0.0315566 3.97123 125.845
1 55 20 27 0.0269871 3.97799 147.403
1 55 23 30 0.02504 3.98877 159.296
1 55 26 33 0.0255347 4.06757 159.296
1 55 29 36 0.0276789 4.07996 147.403
1 55 32 39 0.0313035 3.93938 125.845
1 55 35 42 0.0402059 3.95405 98.345
1 55 38 45 0.0576724 3.98413 69.0821
1 55 41 48 0.104784 4.38032 41.8032
1 55 44 51 0.258866 5.00936 19.3511
1 55 47 54 2.3808 8.52004 3.57865
2 14 3 6 2.24212 8.98342 4.00667
2 14 4 7 0.815092 7.46867 9.16298
2 14 5 8 0.416307 5.88541 14.1372
2 14 6 9 0.30647 5.28598 17.248
2 14 7 10 0.302402 5.21582 17.248
2 14 8 11 0.420514 5.94487 14.1372
2 14 9 12 0.768233 7.0393 9.16298
2 14 10 13 2.27712 9.12369 4.00667
