64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa k
3 15 11 14 2.14311 8.58673 4.00667
3 25 4 9 2.27943 8.4425 3.70377
3 25 5 10 0.779055 6.54738 8.40426
3 25 6 11 0.411893 5.69717 13.8317
3 25 7 12 0.251923 4.93858 19.6035
3 25 8 13 0.186865 4.71493 25.2317
3 25 9 14 0.153568 4.63151 30.1593
3 25 10 15 0.128878 4.36027 33.8325
3 25 11 16 0.121023 4.33236 35.7978
3 25 12 17 0.12261 4.38918 35.7978
3 25 13 18 0.130766 4.42415 33.8325
3 25 14 19 0.156433 4.71791 30.1593
3 25 15 20 0.193787 4.88958 25.2317
3 25 16 21 0.274083 5.37301 19.6035
3 25 17 22 0.448928 6.20943 13.8317
3 25 18 23 0.87438 7.34852 8.40426
3 25 19 24 2.34199 8.67418 3.70377
3 57 4 11 2.33166 8.3442 3.57865
3 57 7 14 0.258346 4.9993 19.3511
3 57 10 17 0.107382 4.48891 41.8032
3 57 13 20 0.0599468 4.14125 69.0821
3 57 16 23 0.0426301 4.19246 98.345
3 57 19 26 0.0324209 4.08001 125.845
3 57 22 29 0.02806 4.13614 147.403
3 57 25 32 0.0259994 4.14159 159.296
3 57 28 35 0.0267447 4.26031 159.296
3 57 31 38 0.0275789 4.06522 147.403
3 57 34 41 0.0326519 4.10907 125.845
3 57 37 44 0.0417738 4.10824 98.345
3 57 40 47 0.0614355 4.24409 69.0821
3 57 43 50 0.104824 4.38198 41.8032
3 57 46 53 0.273227 5.28726 19.3511
3 57 49 56 2.14527 7.67718 3.57865
4 16 5 8 2.10357 8.42832 4.00667
4 16 6 9 0.731488 6.70261 9.16298
4 16 7 10 0.392408 5.54754 14.1372
4 16 8 11 0.310864 5.36177 17.248
4 16 9 12 0.330256 5.69625 17.248
4 16 10 13 0.44252 6.25598 14.1372
4 16 11 14 0.761359 6.97632 9.16298
4 16 12 15 2.00482 8.03265 4.00667
4 26 5 10 2.21578 8.20674 3.70377
4 26 6 11 0.78866 6.6281 8.40426
4 26 7 12 0.394962 5.46298 13.8317
4 26 8 13 0.257208 5.04218 19.6035
4 26 9 14 0.193184 4.87436 25.2317
4 26 10 15 0.149731 4.51579 30.1593
4 26 11 16 0.1301 4.4016 33.8325
4 26 12 17 0.122571 4.38778 35.7978
4 26 13 18 0.121049 4.33327 35.7978
4 26 14 19 0.133973 4.53266 33.8325
4 26 15 20 0.154125 4.64831 30.1593
4 26 16 21 0.196315 4.95337 25.2317
4 26 17 22 0.281683 5.52199 19.6035
4 26 18 23 0.453893 6.2781 13.8317
4 26 19 24 0.834082 7.00984 8.40426
4 26 20 25 2.2438 8.31051 3.70377
4 58 5 12 2.26618 8.10988 3.57865
4 58 8 15 0.259803 5.02748 19.3511
4 58 11 18 0.106748 4.4624 41.8032
4 58 14 21 0.0601958 4.15845 69.0821
4 58 17 24 0.0422288 4.153 98.345
4 58 20 27 0.0327277 4.11862 125.845
4 58 23 30 0.0278864 4.11055 147.403
4 58 26 33 0.0260849 4.1552 159.296
4 58 29 36 0.0265531 4.22979 159.296
4 58 32 39 0.027651 4.07585 147.403
4 58 35 42 0.0328025 4.12803 125.845
4 58 38 45 0.0425779 4.18732 98.345
4 58 41 48 0.061558 4.25255 69.0821
4 58 44 51 0.107687 4.50164 41.8032
4 58 47 54 0.273355 5.28972 19.3511
4 58 50 57 2.31238 8.2752 3.57865
5 17 6 9 2.2172 8.88359 4.00667
5 17 7 10 0.723299 6.62757 9.16298
5 17 8 11 0.409666 5.79152 14.1372
5 17 9 12 0.328012 5.65754 17.248
5 17 10 13 0.332693 5.73828 17.248
5 17 11 14 0.428583 6.05895 14.1372
5 17 12 15 0.728951 6.67936 9.16298
5 17 13 16 2.17423 8.71142 4.00667
5 27 6 11 2.34751 8.69463 3.70377
5 27 7 12 0.779228 6.54883 8.40426
5 27 8 13 0.413044 5.71309 13.8317
5 27 9 14 0.274288 5.37701 19.6035
5 27 10 15 0.192931 4.86796 25.2317
5 27 11 16 0.153449 4.62792 30.1593
5 27 12 17 0.133948 4.53182 33.8325
5 27 13 18 0.122391 4.38134 35.7978
5 27 14 19 0.125635 4.49746 35.7978
5 27 15 20 0.135266 4.57639 33.8325
5 27 16 21 0.158129 4.76905 30.1593
5 27 17 22 0.205929 5.19594 25.2317
5 27 18 23 0.295516 5.79315 19.6035
5 27 19 24 0.459779 6.35952 13.8317
5 27 20 25 0.851858 7.15923 8.40426
5 27 21 26 2.33064 8.63217 3.70377
5 59 6 13 2.40035 8.59 3.57865
5 59 9 16 0.278092 5.38139 19.3511
5 59 12 19 0.110031 4.59964 41.8032
5 59 15 22 0.0631504 4.36256 69.0821
5 59 18 25 0.0427473 4.20398 98.345
5 59 21 28 0.0331829 4.17589 125.845
5 59 24 31 0.0283667 4.18135 147.403
5 59 27 34 0.0266028 4.2377 159.296
5 59 30 37 0.0263805 4.20229 159.296
5 59 33 40 0.0279402 4.11847 147.403
5 59 36 43 0.0328985 4.14011 125.845
5 59 39 46 0.0426086 4.19034 98.345
5 59 42 49 0.060815 4.20123 69.0821
5 59 45 52 0.107586 4.49743 41.8032
5 59 48 55 0.267658 5.17948 19.3511
5 59 51 58 2.30317 8.24224 3.57865
6 18 7 10 2.03179 8.14073 4.00667
6 18 8 11 0.711857 6.52273 9.16298
6 18 9 12 0.424225 5.99733 14.1372
6 18 10 13 0.327486 5.64847 17.248
6 18 11 14 0.325796 5.61932 17.248
6 18 12 15 0.41876 5.92009 14.1372
6 18 13 16 0.803554 7.36295 9.16298
6 18 14 17 2.36567 9.47846 4.00667
6 28 7 12 2.1545 7.97978 3.70377
6 28 8 13 0.765947 6.43721 8.40426
6 28 9 14 0.425119 5.88011 13.8317
6 28 10 15 0.265577 5.20626 19.6035
6 28 11 16 0.191813 4.83976 25.2317
6 28 12 17 0.154564 4.66154 30.1593
6 28 13 18 0.130458 4.41373 33.8325
6 28 14 19 0.124138 4.44387 35.7978
6 28 15 20 0.125145 4.47992 35.7978
6 28 16 21 0.134814 4.56111 33.8325
6 28 17 22 0.160575 4.84284 30.1593
6 28 18 23 0.209577 5.28797 25.2317
6 28 19 24 0.291176 5.70809 19.6035
6 28 20 25 0.457358 6.32603 13.8317
6 28 21 26 0.856744 7.2003 8.40426
6 28 22 27 2.50292 9.27024 3.70377
6 60 7 14 2.20783 7.90106 3.57865
6 60 10 17 0.27325 5.2877 19.3511
6 60 13 20 0.106437 4.44939 41.8032
6 60 16 23 0.0626852 4.33042 69.0821
6 60 19 26 0.0418704 4.11774 98.345
6 60 22 29 0.0328748 4.13713 125.845
6 60 25 32 0.0279905 4.12589 147.403
6 60 28 35 0.0266224 4.24082 159.296
6 60 31 38 0.0254425 4.05288 159.296
6 60 34 41 0.0277116 4.08478 147.403
6 60 37 44 0.0322352 4.05664 125.845
6 60 40 47 0.042011 4.13158 98.345
6 60 43 50 0.0596147 4.11831 69.0821
6 60 46 53 0.108169 4.52181 41.8032
6 60 49 56 0.266327 5.15372 19.3511
6 60 52 59 2.31764 8.29402 3.57865
7 19 8 11 2.04736 8.20308 4.00667
7 19 9 12 0.761947 6.9817 9.16298
7 19 10 13 0.426659 6.03176 14.1372
7 19 11 14 0.319945 5.51841 17.248
7 19 12 15 0.310359 5.35307 17.248
7 19 13 16 0.421847 5.96372 14.1372
7 19 14 17 0.765338 7.01278 9.16298
7 19 15 18 2.21694 8.88255 4.00667
7 29 8 13 2.17397 8.05191 3.70377
7 29 9 14 0.819256 6.88524 8.40426
7 29 10 15 0.422975 5.85046 13.8317
7 29 11 16 0.2689 5.2714 19.6035
7 29 12 17 0.197151 4.97445 25.2317
7 29 13 18 0.152291 4.593 30.1593
7 29 14 19 0.133747 4.52501 33.8325
7 29 15 20 0.126174 4.51676 35.7978
7 29 16 21 0.125456 4.49105 35.7978
7 29 17 22 0.137285 4.64468 33.8325
7 29 18 23 0.164328 4.95601 30.1593
7 29 19 24 0.207813 5.24347 25.2317
7 29 20 25 0.291656 5.71748 19.6035
7 29 21 26 0.454221 6.28264 13.8317
7 29 22 27 0.884397 7.4327 8.40426
7 29 23 28 2.60143 9.6351 3.70377
7 61 8 15 2.22131 7.94928 3.57865
7 61 11 18 0.275523 5.33169 19.3511
7 61 14 21 0.108083 4.51821 41.8032
7 61 17 24 0.0626777 4.32991 69.0821
7 61 20 27 0.0426923 4.19858 98.345
7 61 23 30 0.0328274 4.13116 125.845
7 61 26 33 0.0282386 4.16247 147.403
7 61 29 36 0.0265203 4.22457 159.296
7 61 32 39 0.0255848 4.07554 159.296
7 61 35 42 0.0278085 4.09907 147.403
7 61 38 45 0.0328642 4.1358 125.845
7 61 41 48 0.0420095 4.13143 98.345
7 61 44 51 0.0608104 4.20091 69.0821
7 61 47 54 0.107477 4.49288 41.8032
7 61 50 57 0.268782 5.20123 19.3511
7 61 53 60 2.10846 7.54542 3.57865
8 20 9 12 1.98401 7.94926 4.00667
8 20 10 13 0.709062 6.49712 9.16298
8 20 11 14 0.403908 5.71011 14.1372
8 20 12 15 0.308746 5.32524 17.248
8 20 13 16 0.317818 5.4817 17.248
8 20 14 17 0.43732 6.18246 14.1372
8 20 15 18 0.806651 7.39133 9.16298
8 20 16 19 2.34929 9.41281 4.00667
8 30 9 14 2.10427 7.79374 3.70377
8 30 10 15 0.75034 6.30605 8.40426
8 30 11 16 0.400289 5.53667 13.8317
8 30 12 17 0.263488 5.1653 19.6035
8 30 13 18 0.185765 4.68716 25.2317
8 30 14 19 0.150752 4.54659 30.1593
8 30 15 20 0.133557 4.51858 33.8325
8 30 16 21 0.123371 4.41641 35.7978
8 30 17 22 0.124799 4.46754 35.7978
8 30 18 23 0.138014 4.66936 33.8325
8 30 19 24 0.160476 4.83985 30.1593
8 30 20 25 0.206025 5.19835 25.2317
8 30 21 26 0.284208 5.57149 19.6035
8 30 22 27 0.454955 6.29278 13.8317
8 30 23 28 0.910847 7.655 8.40426
8 30 24 29 2.47052 9.15023 3.70377
8 62 9 16 2.15081 7.69699 3.57865
8 62 12 19 0.269655 5.21814 19.3511
8 62 15 22 0.110129 4.60376 41.8032
8 62 18 25 0.0619199 4.27755 69.0821
8 62 21 28 0.0424913 4.17881 98.345
8 62 24 31 0.0329746 4.14969 125.845
8 62 27 34 0.0286014 4.21594 147.403
8 62 30 37 0.0262953 4.18873 159.296
8 62 33 40 0.0258205 4.11309 159.296
8 62 36 43 0.0279992 4.12717 147.403
8 62 39 46 0.0331438 4.17098 125.845
8 62 42 49 0.0419013 4.12079 98.345
8 62 45 52 0.0616825 4.26115 69.0821
8 62 48 55 0.108383 4.53075 41.8032
8 62 51 58 0.279706 5.41263 19.3511
8 62 54 61 2.26265 8.09721 3.57865
9 21 10 13 1.93482 7.75219 4.00667
9 21 11 14 0.688853 6.31195 9.16298
9 21 12 15 0.396161 5.6006 14.1372
9 21 13 16 0.303658 5.23748 17.248
9 21 14 17 0.320275 5.52409 17.248
9 21 15 18 0.446082 6.30634 14.1372
9 21 16 19 0.808716 7.41025 9.16298
9 21 17 20 2.06369 8.26851 4.00667
9 31 10 15 2.03675 7.54365 3.70377
9 31 11 16 0.731479 6.14754 8.40426
9 31 12 17 0.401666 5.55571 13.8317
9 31 13 18 0.24962 4.89344 19.6035
9 31 14 19 0.183977 4.64206 25.2317
9 31 15 20 0.151921 4.58182 30.1593
9 31 16 21 0.129947 4.39643 33.8325
9 31 17 22 0.121303 4.34236 35.7978
9 31 18 23 0.123862 4.43397 35.7978
9 31 19 24 0.132537 4.48407 33.8325
9 31 20 25 0.156512 4.72028 30.1593
9 31 21 26 0.194946 4.91881 25.2317
9 31 22 27 0.270967 5.31192 19.6035
9 31 23 28 0.441557 6.10747 13.8317
9 31 24 29 0.813832 6.83966 8.40426
9 31 25 30 2.2639 8.38496 3.70377
9 63 10 17 2.08944 7.47736 3.57865
9 63 13 20 0.255006 4.93465 19.3511
9 63 16 23 0.107636 4.49953 41.8032
9 63 19 26 0.0597435 4.12721 69.0821
9 63 22 29 0.0416803 4.09906 98.345
9 63 25 32 0.0323003 4.06483 125.845
9 63 28 35 0.0284152 4.1885 147.403
9 63 31 38 0.0252332 4.01953 159.296
9 63 34 41 0.0255096 4.06356 159.296
9 63 37 44 0.0273961 4.03828 147.403
9 63 40 47 0.0326124 4.1041 125.845
9 63 43 50 0.0411023 4.04221 98.345
9 63 46 53 0.0619175 4.27739 69.0821
9 63 49 56 0.107717 4.5029 41.8032
9 63 52 59 0.281341 5.44426 19.3511
9 63 55 62 2.12201 7.59394 3.57865
10 22 11 14 2.13658 8.56056 4.00667
10 22 12 15 0.761008 6.9731 9.16298
10 22 13 16 0.406483 5.74652 14.1372
10 22 14 17 0.315431 5.44054 17.248
10 22 15 18 0.336332 5.80104 17.248
10 22 16 19 0.451761 6.38662 14.1372
10 22 17 20 0.742949 6.80763 9.16298
10 22 18 21 2.23525 8.95589 4.00667
10 32 11 16 2.24922 8.33058 3.70377
10 32 12 17 0.821633 6.90522 8.40426
10 32 13 18 0.410091 5.67224 13.8317
10 32 14 19 0.262021 5.13653 19.6035
10 32 15 20 0.197544 4.98437 25.2317
10 32 16 21 0.154635 4.66369 30.1593
10 32 17 22 0.132634 4.48733 33.8325
10 32 18 23 0.125069 4.47719 35.7978
10 32 19 24 0.123662 4.42681 35.7978
10 32 20 25 0.13579 4.59413 33.8325
10 32 21 26 0.155932 4.70279 30.1593
10 32 22 27 0.196181 4.94998 25.2317
10 32 23 28 0.281826 5.52479 19.6035
10 32 24 29 0.43702 6.04471 13.8317
10 32 25 30 0.838498 7.04696 8.40426
10 32 26 31 2.36459 8.75789 3.70377
11 23 12 15 2.23639 8.96048 4.00667
11 23 13 16 0.734946 6.73429 9.16298
11 23 14 17 0.409066 5.78304 14.1372
11 23 15 18 0.33399 5.76064 17.248
11 23 16 19 0.337919 5.82841 17.248
11 23 17 20 0.418198 5.91214 14.1372
11 23 18 21 0.778713 7.13533 9.16298
11 23 19 22 2.25635 9.04045 4.00667
11 33 12 17 2.37156 8.78371 3.70377
11 33 13 18 0.793813 6.67141 8.40426
11 33 14 19 0.413786 5.72335 13.8317
11 33 15 20 0.2792 5.47331 19.6035
11 33 16 21 0.198397 5.00589 25.2317
11 33 17 22 0.155642 4.69405 30.1593
11 33 18 23 0.135385 4.5804 33.8325
11 33 19 24 0.123516 4.42159 35.7978
