64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa k
1 13 2 5 2.30101 9.21939 4.00667
1 13 3 6 0.825458 7.56366 9.16298
1 13 4 7 0.47272 6.68292 14.1372
1 13 5 8 0.332363 5.73258 17.248
1 13 6 9 0.314517 5.42477 17.248
1 13 7 10 0.423429 5.98608 14.1372
1 13 8 11 0.785589 7.19834 9.16298
1 13 9 12 2.23458 8.95322 4.00667
1 23 2 7 2.44158 9.04306 3.70377
1 23 3 8 0.883629 7.42625 8.40426
1 23 4 9 0.470579 6.50889 13.8317
1 23 5 10 0.284767 5.58244 19.6035
1 23 6 11 0.199597 5.03618 25.2317
1 23 7 12 0.153741 4.63671 30.1593
1 23 8 13 0.135412 4.58134 33.8325
1 23 9 14 0.126956 4.54474 35.7978
1 23 10 15 0.123681 4.4275 35.7978
1 23 11 16 0.135833 4.59559 33.8325
1 23 12 17 0.162208 4.89207 30.1593
1 23 13 18 0.205758 5.19163 25.2317
1 23 14 19 0.296732 5.817 19.6035
1 23 15 20 0.457777 6.33182 13.8317
1 23 16 21 0.875854 7.3609 8.40426
1 23 17 22 2.56163 9.48769 3.70377
1 55 2 9 2.49128 8.91542 3.57865
1 55 5 12 0.291698 5.64468 19.3511
1 55 8 15 0.109747 4.58778 41.8032
1 55 11 18 0.0624292 4.31274 69.0821
1 55 14 21 0.0417976 4.11058 98.345
1 55 17 24 0.032799 4.12759 125.845
1 55 20 27 0.027929 4.11683 147.403
1 55 23 30 0.0259015 4.12599 159.296
1 55 26 33 0.0263222 4.19301 159.296
1 55 29 36 0.0286126 4.21759 147.403
1 55 32 39 0.0323734 4.07403 125.845
1 55 35 42 0.0416915 4.10015 98.345
1 55 38 45 0.0612009 4.22789 69.0821
1 55 41 48 0.109037 4.55808 41.8032
1 55 44 51 0.27149 5.25364 19.3511
1 55 47 54 2.39828 8.58261 3.57865
2 14 3 6 2.22522 8.91573 4.00667
2 14 4 7 0.826133 7.56984 9.16298
2 14 5 8 0.437221 6.18107 14.1372
2 14 6 9 0.317221 5.47141 17.248
2 14 7 10 0.31718 5.4707 17.248
2 14 8 11 0.434592 6.1439 14.1372
2 14 9 12 0.783036 7.17494 9.16298
2 14 10 13 2.21227 8.86385 4.00667
2 24 3 8 2.35317 8.71562 3.70377
2 24 4 9 0.874253 7.34745 8.40426
2 24 5 10 0.441145 6.10178 13.8317
2 24 6 11 0.274621 5.38353 19.6035
2 24 7 12 0.192177 4.84896 25.2317
2 24 8 13 0.15584 4.70002 30.1593
2 24 9 14 0.135833 4.59558 33.8325
2 24 10 15 0.122891 4.39922 35.7978
