64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
1 13 2 5 1.68893 6.76698 4.00667
1 13 3 6 0.664876 6.09224 9.16298
1 13 4 7 0.393062 5.55678 14.1372
1 13 5 8 0.285384 4.9223 17.248
1 13 6 9 0.251506 4.33796 17.248
1 13 7 10 0.352049 4.97698 14.1372
1 13 8 11 0.657603 6.0256 9.16298
1 13 9 12 1.77204 7.09997 4.00667
1 23 2 7 1.81255 6.71329 3.70377
1 23 3 8 0.712307 5.98642 8.40426
1 23 4 9 0.387725 5.36289 13.8317
1 23 5 10 0.246531 4.83288 19.6035
1 23 6 11 0.172335 4.34831 25.2317
1 23 7 12 0.13311 4.0145 30.1593
1 23 8 13 0.118385 4.00527 33.8325
1 23 9 14 0.114373 4.09431 35.7978
1 23 10 15 0.108323 3.87773 35.7978
1 23 11 16 0.117978 3.9915 33.8325
1 23 12 17 0.140459 4.23616 30.1593
1 23 13 18 0.178965 4.51558 25.2317
1 23 14 19 0.259141 5.08008 19.6035
1 23 15 20 0.383635 5.30631 13.8317
1 23 16 21 0.768037 6.45479 8.40426
1 23 17 22 2.04772 7.5843 3.70377
1 57 4 16 0.449866 5.19233 11.542
1 57 5 17 0.290928 4.72904 16.255
1 57 6 18 0.202959 4.33133 21.3409
1 57 7 19 0.153224 4.09931 26.7536
1 57 8 20 0.124777 4.04773 32.4396
1 57 9 21 0.108425 4.15681 38.3381
1 57 10 22 0.09192 4.0795 44.381
1 57 11 23 0.0800736 4.04318 50.4932
1 57 12 24 0.0718035 4.0636 56.5934
1 57 13 25 0.0644866 4.03652 62.5948
1 57 14 26 0.0594303 4.06542 68.4065
1 57 15 27 0.0561023 4.14797 73.9358
1 57 16 28 0.0522456 4.13206 79.0892
1 57 17 29 0.0491604 4.11845 83.7758
1 57 18 30 0.0467957 4.11377 87.9092
1 57 19 31 0.0444286 4.06124 91.4105
1 57 20 32 0.0433795 4.08681 94.2106
1 57 21 33 0.0426438 4.1046 96.2531
1 57 22 34 0.0423749 4.13137 97.4958
1 57 23 35 0.0424435 4.15577 97.913
1 57 24 36 0.0427683 4.16973 97.4958
1 57 25 37 0.0435315 4.19004 96.2531
1 57 26 38 0.0438264 4.12891 94.2106
1 57 27 39 0.0448133 4.09641 91.4105
1 57 28 40 0.0468221 4.1161 87.9092
1 57 29 41 0.0490714 4.111 83.7758
1 57 30 42 0.0523803 4.14271 79.0892
1 57 31 43 0.0558375 4.12839 73.9358
1 57 32 44 0.059261 4.05384 68.4065
1 57 33 45 0.0651701 4.07931 62.5948
1 57 34 46 0.0722044 4.08629 56.5934
1 57 35 47 0.0803405 4.05665 50.4932
1 57 36 48 0.0920505 4.08529 44.381
1 57 37 49 0.107333 4.11494 38.3381
1 57 38 50 0.125352 4.06636 32.4396
1 57 39 51 0.157863 4.2234 26.7536
1 57 40 52 0.20481 4.37083 21.3409
1 57 41 53 0.287644 4.67566 16.255
1 57 42 54 0.431475 4.98006 11.542
2 14 3 6 1.71628 6.87655 4.00667
2 14 4 7 0.663346 6.07822 9.16298
2 14 5 8 0.371135 5.2468 14.1372
2 14 6 9 0.255047 4.39905 17.248
2 14 7 10 0.260555 4.49404 17.248
2 14 8 11 0.357996 5.06104 14.1372
2 14 9 12 0.622163 5.70086 9.16298
2 14 10 13 1.57015 6.29107 4.00667
2 24 3 8 1.81911 6.73756 3.70377
2 24 4 9 0.695887 5.84842 8.40426
2 24 5 10 0.371529 5.13887 13.8317
2 24 6 11 0.230255 4.51381 19.6035
2 24 7 12 0.161369 4.0716 25.2317
2 24 8 13 0.133029 4.01206 30.1593
2 24 9 14 0.121458 4.10925 33.8325
2 24 10 15 0.108103 3.86984 35.7978
2 24 11 16 0.109391 3.91596 35.7978
2 24 12 17 0.120983 4.09316 33.8325
2 24 13 18 0.141829 4.27746 30.1593
2 24 14 19 0.187022 4.71887 25.2317
2 24 15 20 0.248898 4.87928 19.6035
2 24 16 21 0.407403 5.63506 13.8317
2 24 17 22 0.795359 6.6844 8.40426
2 24 18 23 2.20442 8.16466 3.70377
2 58 5 17 0.431065 4.97534 11.542
2 58 6 18 0.273521 4.44609 16.255
2 58 7 19 0.193133 4.12165 21.3409
2 58 8 20 0.151034 4.04069 26.7536
2 58 9 21 0.127945 4.15047 32.4396
2 58 10 22 0.10583 4.0573 38.3381
2 58 11 23 0.0904111 4.01253 44.381
2 58 12 24 0.0799166 4.03525 50.4932
2 58 13 25 0.0707123 4.00185 56.5934
2 58 14 26 0.0644092 4.03168 62.5948
2 58 15 27 0.0602085 4.11866 68.4065
2 58 16 28 0.0555119 4.10431 73.9358
2 58 17 29 0.0517251 4.0909 79.0892
2 58 18 30 0.0487548 4.08448 83.7758
2 58 19 31 0.045857 4.03125 87.9092
2 58 20 32 0.0443856 4.05731 91.4105
2 58 21 33 0.0433411 4.08319 94.2106
2 58 22 34 0.042709 4.11087 96.2531
2 58 23 35 0.0424097 4.13477 97.4958
2 58 24 36 0.0424127 4.15275 97.913
2 58 25 37 0.042832 4.17594 97.4958
2 58 26 38 0.0427952 4.11917 96.2531
2 58 27 39 0.0434372 4.09225 94.2106
2 58 28 40 0.0449681 4.11056 91.4105
2 58 29 41 0.0466535 4.10127 87.9092
2 58 30 42 0.0492988 4.13004 83.7758
2 58 31 43 0.0520218 4.11436 79.0892
2 58 32 44 0.0547263 4.04623 73.9358
2 58 33 45 0.0594433 4.06631 68.4065
2 58 34 46 0.0649064 4.0628 62.5948
2 58 35 47 0.0711557 4.02694 56.5934
2 58 36 48 0.0800821 4.0436 50.4932
2 58 37 49 0.091402 4.05651 44.381
2 58 38 50 0.104399 4.00244 38.3381
2 58 39 51 0.126849 4.11492 32.4396
2 58 40 52 0.15732 4.20886 26.7536
2 58 41 53 0.206906 4.41557 21.3409
2 58 42 54 0.283206 4.60351 16.255
2 58 43 55 0.416559 4.8079 11.542
3 15 4 7 1.78335 7.14528 4.00667
3 15 5 8 0.646173 5.92087 9.16298
3 15 6 9 0.337823 4.77587 14.1372
3 15 7 10 0.258037 4.4506 17.248
3 15 8 11 0.278606 4.80539 17.248
3 15 9 12 0.383119 5.41621 14.1372
3 15 10 13 0.651296 5.96781 9.16298
3 15 11 14 1.67568 6.71391 4.00667
3 25 4 9 1.86328 6.90115 3.70377
3 25 5 10 0.680519 5.71926 8.40426
3 25 6 11 0.347783 4.81042 13.8317
3 25 7 12 0.212732 4.1703 19.6035
3 25 8 13 0.159453 4.02327 25.2317
3 25 9 14 0.136501 4.11679 30.1593
3 25 10 15 0.113929 3.85452 33.8325
3 25 11 16 0.107409 3.845 35.7978
3 25 12 17 0.110828 3.96739 35.7978
3 25 13 18 0.120333 4.07117 33.8325
3 25 14 19 0.145877 4.39956 30.1593
3 25 15 20 0.178094 4.49362 25.2317
3 25 16 21 0.250327 4.90729 19.6035
3 25 17 22 0.402269 5.56406 13.8317
3 25 18 23 0.77677 6.52818 8.40426
3 25 19 24 2.00285 7.41811 3.70377
3 59 6 18 0.405149 4.67621 11.542
3 59 7 19 0.256661 4.17203 16.255
3 59 8 20 0.188568 4.02422 21.3409
3 59 9 21 0.154249 4.1267 26.7536
3 59 10 22 0.123705 4.01295 32.4396
3 59 11 23 0.103146 3.95444 38.3381
3 59 12 24 0.089561 3.97481 44.381
3 59 13 25 0.0780035 3.93865 50.4932
3 59 14 26 0.070165 3.97088 56.5934
3 59 15 27 0.0649469 4.06534 62.5948
3 59 16 28 0.0592135 4.05059 68.4065
3 59 17 29 0.0546407 4.0399 73.9358
3 59 18 30 0.0510284 4.03579 79.0892
3 59 19 31 0.0475006 3.9794 83.7758
3 59 20 32 0.0456466 4.01275 87.9092
3 59 21 33 0.0441703 4.03763 91.4105
3 59 22 34 0.0431224 4.06259 94.2106
3 59 23 35 0.0424837 4.08918 96.2531
3 59 24 36 0.0421496 4.10941 97.4958
3 59 25 37 0.0422399 4.13583 97.913
3 59 26 38 0.0419351 4.08849 97.4958
3 59 27 39 0.0422346 4.06521 96.2531
3 59 28 40 0.0433623 4.08519 94.2106
3 59 29 41 0.0446286 4.07952 91.4105
3 59 30 42 0.0467063 4.10592 87.9092
3 59 31 43 0.0488462 4.09213 83.7758
3 59 32 44 0.0509404 4.02884 79.0892
3 59 33 45 0.0547585 4.04861 73.9358
3 59 34 46 0.0590438 4.03898 68.4065
3 59 35 47 0.0638309 3.99548 62.5948
3 59 36 48 0.0707658 4.00488 56.5934
3 59 37 49 0.079329 4.00558 50.4932
3 59 38 50 0.0889885 3.9494 44.381
3 59 39 51 0.105169 4.03197 38.3381
3 59 40 52 0.125941 4.08548 32.4396
3 59 41 53 0.1579 4.22439 26.7536
3 59 42 54 0.20282 4.32838 21.3409
3 59 43 55 0.271982 4.42107 16.255
3 59 44 56 0.406332 4.68986 11.542
4 16 5 8 1.86379 7.46758 4.00667
4 16 6 9 0.631459 5.78605 9.16298
4 16 7 10 0.334861 4.73399 14.1372
4 16 8 11 0.267926 4.62118 17.248
4 16 9 12 0.289932 5.00073 17.248
4 16 10 13 0.374194 5.29004 14.1372
4 16 11 14 0.620535 5.68595 9.16298
4 16 12 15 1.5843 6.34776 4.00667
4 26 5 10 1.95249 7.23157 3.70377
4 26 6 11 0.684402 5.75189 8.40426
4 26 7 12 0.336132 4.64927 13.8317
4 26 8 13 0.218429 4.28199 19.6035
4 26 9 14 0.171414 4.32507 25.2317
4 26 10 15 0.1323 3.99008 30.1593
4 26 11 16 0.115658 3.91299 33.8325
4 26 12 17 0.110936 3.97125 35.7978
4 26 13 18 0.111863 4.00446 35.7978
4 26 14 19 0.125763 4.25487 33.8325
4 26 15 20 0.142907 4.30999 30.1593
4 26 16 21 0.178821 4.51195 25.2317
4 26 17 22 0.249946 4.89983 19.6035
4 26 18 23 0.391471 5.4147 13.8317
4 26 19 24 0.701583 5.89628 8.40426
4 26 20 25 1.7699 6.55531 3.70377
4 60 7 19 0.39633 4.57442 11.542
4 60 8 20 0.2609 4.24094 16.255
4 60 9 21 0.2012 4.29379 21.3409
4 60 10 22 0.153928 4.11813 26.7536
4 60 11 23 0.123887 4.01884 32.4396
4 60 12 24 0.104837 4.01924 38.3381
4 60 13 25 0.0892834 3.96249 44.381
4 60 14 26 0.0788546 3.98162 50.4932
4 60 15 27 0.0720106 4.07532 56.5934
4 60 16 28 0.0646509 4.04681 62.5948
4 60 17 29 0.0589883 4.03519 68.4065
4 60 18 30 0.0544694 4.02723 73.9358
4 60 19 31 0.0501222 3.96412 79.0892
4 60 20 32 0.0477176 3.99758 83.7758
4 60 21 33 0.0457845 4.02488 87.9092
4 60 22 34 0.0443288 4.05211 91.4105
4 60 23 35 0.0433246 4.08164 94.2106
4 60 24 36 0.0426277 4.10305 96.2531
4 60 25 37 0.0423576 4.12968 97.4958
4 60 26 38 0.0417622 4.08906 97.913
4 60 27 39 0.0417508 4.07053 97.4958
4 60 28 40 0.0424685 4.08773 96.2531
4 60 29 41 0.0433394 4.08303 94.2106
4 60 30 42 0.0449312 4.10719 91.4105
4 60 31 43 0.0465262 4.09008 87.9092
4 60 32 44 0.0481257 4.03177 83.7758
4 60 33 45 0.0511771 4.04756 79.0892
4 60 34 46 0.0545707 4.03473 73.9358
4 60 35 47 0.0582861 3.98715 68.4065
4 60 36 48 0.0637111 3.98798 62.5948
4 60 37 49 0.0703384 3.98069 56.5934
4 60 38 50 0.0776857 3.9226 50.4932
4 60 39 51 0.0897806 3.98455 44.381
4 60 40 52 0.104653 4.01221 38.3381
4 60 41 53 0.126574 4.106 32.4396
4 60 42 54 0.155426 4.15821 26.7536
4 60 43 55 0.196133 4.18566 21.3409
4 60 44 56 0.265657 4.31826 16.255
4 60 45 57 0.432965 4.99727 11.542
5 17 6 9 1.89687 7.60015 4.00667
5 17 7 10 0.612507 5.61239 9.16298
5 17 8 11 0.345219 4.88043 14.1372
5 17 9 12 0.289402 4.99159 17.248
5 17 10 13 0.288199 4.97085 17.248
5 17 11 14 0.365309 5.16444 14.1372
5 17 12 15 0.630091 5.77351 9.16298
5 17 13 16 2.03778 8.16469 4.00667
5 27 6 11 2.01203 7.45211 3.70377
5 27 7 12 0.659188 5.53999 8.40426
5 27 8 13 0.344233 4.76132 13.8317
5 27 9 14 0.240194 4.70866 19.6035
5 27 10 15 0.16852 4.25204 25.2317
5 27 11 16 0.13501 4.0718 30.1593
5 27 12 17 0.12049 4.07648 33.8325
5 27 13 18 0.112976 4.04428 35.7978
5 27 14 19 0.118541 4.24352 35.7978
5 27 15 20 0.127034 4.29788 33.8325
5 27 16 21 0.146061 4.4051 30.1593
5 27 17 22 0.185696 4.68543 25.2317
5 27 18 23 0.257645 5.05075 19.6035
5 27 19 24 0.389728 5.39058 13.8317
5 27 20 25 0.698715 5.87218 8.40426
5 27 21 26 1.89558 7.02079 3.70377
5 61 8 20 0.403239 4.65416 11.542
5 61 9 21 0.283666 4.61099 16.255
5 61 10 22 0.202471 4.32091 21.3409
5 61 11 23 0.155329 4.15561 26.7536
5 61 12 24 0.127079 4.12238 32.4396
5 61 13 25 0.105127 4.03035 38.3381
5 61 14 26 0.0908471 4.03188 44.381
5 61 15 27 0.0816315 4.12184 50.4932
