,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
0,1,1,13,2,5,2.30101066,4.00666889153481,9.219387830511982,,1.550598,237.0,0.1762029874925674,237,20200221,41.0,1.0,2.29826376,0.23904131873880274,2.29826376,0.23904131873880274,True,True,True,True,True,True,True
1,2,1,13,3,6,0.825458401,9.16297857297023,7.563657641241268,,0.5562577,237.0,0.17162908486480277,237,20200221,84.0,1.0,0.825361859,0.023393860268015425,0.825361859,0.023393860268015425,True,True,True,True,True,True,True
2,3,1,13,4,7,0.472719939,14.1371669411541,6.682920694055182,,0.3185552,237.0,0.1760762341974013,237,20200221,129.0,1.0,0.47260323049999997,0.04938963276933377,0.47260323049999997,0.04938963276933377,True,True,True,True,True,True,True
3,4,1,13,5,8,0.332363003,17.2479596667675,5.732583670469725,,0.2239719,237.0,0.1739950413422398,237,20200221,176.0,1.0,0.3323268665,0.021747564607452998,0.3323268665,0.021747564607452998,True,True,True,True,True,True,True
4,5,1,13,6,9,0.314516833,17.2479596667675,5.424773650103449,,0.2119457,237.0,0.17546947166184546,237,20200221,226.0,1.0,0.314624821,0.06864556944793831,0.314624821,0.06864556944793831,True,True,True,True,True,True,True
5,6,1,13,7,10,0.423428803,14.1371669411541,5.986083675704052,,0.285339,237.0,0.17505493465667155,237,20200221,278.0,1.0,0.423480754,0.024535235431263316,0.423480754,0.024535235431263316,True,True,True,True,True,True,True
6,7,1,13,8,11,0.785589172,9.16297857297023,7.198336750193425,,0.5293907,237.0,0.17376580283711066,237,20200221,332.0,1.0,0.7851176955,0.12010339410316147,0.7851176955,0.12010339410316147,True,True,True,True,True,True,True
7,8,1,13,9,12,2.23457955,4.00666889153481,8.953220368644853,,1.505832,237.0,0.1793227929808903,237,20200221,389.0,1.0,2.2267468,0.7035151010433646,2.2267468,0.7035151010433646,True,True,True,True,True,True,True
8,9,1,23,2,7,2.44158014,3.7037723916006,9.043057114412328,,1.566666,233.0,0.3364086537909165,233,20200221,42.0,1.0,2.438330805,0.26652126063756304,2.438330805,0.26652126063756304,True,True,True,True,True,True,True
9,10,1,23,3,8,0.883628651,8.40426060195996,7.426245458362327,,0.5669897,233.0,0.3327220935406763,233,20200221,86.0,1.0,0.8835769105,0.011711600741293519,0.8835769105,0.011711600741293519,True,True,True,True,True,True,True
10,11,1,23,4,9,0.470578835,13.831674138287802,6.508893102095103,,0.3019519,233.0,0.33177469656590997,233,20200221,132.0,1.0,0.470405921,0.0735169317734826,0.470405921,0.0735169317734826,True,True,True,True,True,True,True
11,12,1,23,5,10,0.284766719,19.6035381584003,5.582435242158956,,0.1827236,233.0,0.33115590980037607,233,20200221,180.0,1.0,0.2847355795,0.021872573883938665,0.2847355795,0.021872573883938665,True,True,True,True,True,True,True
12,13,1,23,6,11,0.199597266,25.231689028831397,5.036176146716942,,0.1280737,233.0,0.33160594251591075,233,20200221,231.0,1.0,0.1995818275,0.015470847414694969,0.1995818275,0.015470847414694969,True,True,True,True,True,True,True
13,14,1,23,7,12,0.1537406,30.159289474462,4.636707259377473,,0.0986493,233.0,0.3317813709777971,233,20200221,284.0,1.0,0.1538468385,0.13810943537847786,0.1538468385,0.13810943537847786,True,True,True,True,True,True,True
14,15,1,23,8,13,0.135412284,33.8325362694285,4.581341009756152,,0.0868887,233.0,0.3383639069292094,233,20200221,339.0,1.0,0.135410531,0.0025891634676378783,0.135410531,0.0025891634676378783,True,True,True,True,True,True,True
15,16,1,23,9,14,0.126955992,35.797765332731,4.544740809200073,,0.0814626,233.0,0.33217697446435546,233,20200221,397.0,1.0,0.126947703,0.013058920806144342,0.126947703,0.013058920806144342,True,True,True,True,True,True,True
16,17,1,23,10,15,0.123681034,35.797765332731,4.427504631241524,,0.0829986,237.0,1.0618251392192157,237,20200221,456.0,1.0,0.1236315,0.080131681650707,0.1236315,0.080131681650707,True,True,True,True,True,True,True
17,18,1,23,11,16,0.135833351,33.8325362694285,4.595586774305512,,0.0911537,237.0,1.0620523357801164,237,20200221,500.0,1.0,0.1358548955,0.0317169284488509,0.1358548955,0.0317169284488509,True,True,True,True,True,True,True
18,19,1,23,12,17,0.162207738,30.159289474462,4.892070125339689,,0.1088528,237.0,1.0618008907441978,237,20200221,545.0,1.0,0.162076035,0.1625200172252448,0.162076035,0.1625200172252448,True,True,True,True,True,True,True
19,20,1,23,13,18,0.20575843,25.231689028831397,5.191632720820572,,0.1380783,237.0,1.0621509679652779,237,20200221,591.0,1.0,0.2057154695,0.04176691242949467,0.2057154695,0.04176691242949467,True,True,True,True,True,True,True
20,21,1,23,14,19,0.296732269,19.6035381584003,5.817002358170202,,0.1991282,237.0,1.0620796049981869,237,20200221,638.0,1.0,0.29667111199999996,0.04122882041848829,0.29667111199999996,0.04122882041848829,True,True,True,True,True,True,True
21,22,1,23,15,20,0.457777193,13.831674138287802,6.331824961516085,,0.3072007,237.0,1.0620092988069363,237,20200221,686.0,1.0,0.45770010650000004,0.03368428318249368,0.45770010650000004,0.03368428318249368,True,True,True,True,True,True,True
22,23,1,23,16,21,0.875853619,8.40426060195996,7.360902063245749,,0.5877594,237.0,1.06336027973351,237,20200221,735.0,1.0,0.876005184,0.034603676500609526,0.876005184,0.034603676500609526,True,True,True,True,True,True,True
23,24,1,23,17,22,2.56162808,3.7037723916006,9.487687360252853,,1.719032,237.0,1.0640057893046786,237,20200221,785.0,1.0,2.5565091000000004,0.40046640162556,2.5565091000000004,0.40046640162556,True,True,True,True,True,True,True
24,25,1,55,2,9,2.49128237,3.5786487043345,8.915424425531882,,1.878727,206.0,0.7579600442214328,206,20200221,43.0,1.0,2.48809571,0.256152525579484,2.48809571,0.256152525579484,True,True,True,True,True,True,True
25,26,1,55,5,12,0.291697768,19.3511306830052,5.644681628508932,,0.2199753,206.0,0.7520844385710578,206,20200221,184.0,1.0,0.291607275,0.06206498106058897,0.291607275,0.06206498106058897,True,True,True,True,True,True,True
26,27,1,55,8,15,0.109747042,41.803194460305,4.58777693816926,,0.0827625,206.0,0.7531188642199064,206,20200221,346.0,1.0,0.1097623135,0.027826490738092898,0.1097623135,0.027826490738092898,True,True,True,True,True,True,True
27,28,1,55,11,18,0.0624292,69.0820898464573,4.312739603442451,,0.0470791,206.0,0.7512887884432795,206,20200221,510.0,1.0,0.0624023295,0.08612018242042718,0.0624023295,0.08612018242042718,True,True,True,True,True,True,True
28,29,1,55,14,21,0.041797573,98.34503725747841,4.110583873957173,,0.0315204,206.0,0.7525285212116598,206,20200221,651.0,1.0,0.0417958635,0.00818023534792519,0.0417958635,0.00818023534792519,True,True,True,True,True,True,True
29,30,1,55,17,24,0.032799041,125.844851386231,4.127590440255897,,0.0247344,206.0,0.7540106087069022,206,20200221,801.0,1.0,0.0328232745,0.14766046574663502,0.0328232745,0.14766046574663502,True,True,True,True,True,True,True
30,31,1,55,20,27,0.027928986,147.403356799369,4.1168262884025815,,0.0210618,206.0,0.7544464385760002,206,20200221,954.0,1.0,0.027898534,0.21830537762306976,0.027898534,0.21830537762306976,True,True,True,True,True,True,True
31,32,1,55,23,30,0.025901486,159.29553848522102,4.1259911599374135,,0.0195328,206.0,0.7254464285714286,206,20200221,1107.0,1.0,0.025836042500000003,0.5066062265534655,0.025836042500000003,0.5066062265534655,True,True,True,True,True,True,True
32,33,1,55,26,33,0.026322208,159.29553848522102,4.193010297479993,,0.0198005,209.0,0.9923991818388425,209,20200221,1260.0,1.0,0.0263352035,0.09869299092372502,0.0263352035,0.09869299092372502,True,True,True,True,True,True,True
33,34,1,55,29,36,0.028612604,147.403356799369,4.217593876371052,,0.0215234,209.0,0.9914790414153897,209,20200221,1413.0,1.0,0.028583666,0.20247927610124736,0.028583666,0.20247927610124736,True,True,True,True,True,True,True
34,35,1,55,32,39,0.03237344,125.844851386231,4.074030745661067,,0.0243525,209.0,0.990863361051227,209,20200221,1566.0,1.0,0.032419444500000005,0.28380807080145076,0.032419444500000005,0.28380807080145076,True,True,True,True,True,True,True
35,36,1,55,35,42,0.041691473,98.34503725747841,4.100149465504155,,0.0313618,209.0,0.993565420352148,209,20200221,1719.0,1.0,0.041717369500000004,0.12415212325408331,0.041717369500000004,0.12415212325408331,True,True,True,True,True,True,True
36,37,1,55,38,45,0.061200949,69.0820898464573,4.227889457506451,,0.0460376,209.0,0.9959250699428294,209,20200221,1872.0,1.0,0.061333076,0.4308507207432502,0.061333076,0.4308507207432502,True,True,True,True,True,True,True
37,38,1,55,41,48,0.109036603,41.803194460305,4.558078318500075,,0.0820213,209.0,0.9966923226040064,209,20200221,2025.0,1.0,0.108926386,0.20236969947758257,0.108926386,0.20236969947758257,True,True,True,True,True,True,True
38,39,1,55,44,51,0.271490068,19.3511306830052,5.2536397850059675,,0.2042248,209.0,0.9978709735546318,209,20200221,2143.0,1.0,0.27186666299999995,0.27704389780221594,0.27186666299999995,0.27704389780221594,True,True,True,True,True,True,True
39,40,1,55,47,54,2.3982811,3.5786487043345,8.582605551144919,,1.804075,209.0,0.9987445089588846,209,20200221,2236.0,1.0,2.3958620450000003,0.20193608434579619,2.3958620450000003,0.20193608434579619,True,True,True,True,True,True,True
40,41,2,5,1,13,2.29551686,4.00666889153481,9.197375992955669,,1.373394,275.0,0.8486639667859331,275,20200221,1.0,2.0,2.29826376,0.23904131873880274,2.29826376,0.23904131873880274,True,True,True,True,True,True,True
41,42,2,7,1,23,2.43508147,3.7037723916006,9.018987519884204,,1.474867,278.0,0.5441507607126609,278,20200221,9.0,2.0,2.438330805,0.26652126063756304,2.438330805,0.26652126063756304,True,True,True,True,True,True,True
42,43,2,9,1,55,2.48490905,3.5786487043345,8.892616552171573,,1.588599,233.0,0.6758596725794238,233,20200221,25.0,2.0,2.48809571,0.256152525579484,2.48809571,0.256152525579484,True,True,True,True,True,True,True
43,44,2,14,3,6,2.2252231,4.00666889153481,8.915732171494653,,1.74735,194.0,0.8938106275216757,194,20200221,85.0,1.0,2.222826565,0.21562950863869326,2.222826565,0.21562950863869326,True,True,True,True,True,True,True
44,45,2,14,4,7,0.826133184,9.16297857297023,7.569840663411672,,0.6487187,194.0,0.8914187304913517,194,20200221,130.0,1.0,0.8254457545,0.1665595822020799,0.8254457545,0.1665595822020799,True,True,True,True,True,True,True
45,46,2,14,5,8,0.437221489,14.1371669411541,6.181073180252971,,0.3433269,194.0,0.8907836816748119,194,20200221,177.0,1.0,0.4371302855,0.04172829155302157,0.4371302855,0.04172829155302157,True,True,True,True,True,True,True
46,47,2,14,6,9,0.317220768,17.2479596667675,5.47141101192501,,0.2490967,194.0,0.8934682795878066,194,20200221,227.0,1.0,0.317136513,0.05313484669613259,0.317136513,0.05313484669613259,True,True,True,True,True,True,True
47,48,2,14,7,10,0.317179571,17.2479596667675,5.470700447730619,,0.2490643,194.0,0.8930625545290914,194,20200221,279.0,1.0,0.3172060745,0.016710587930431897,0.3172060745,0.016710587930431897,True,True,True,True,True,True,True
48,49,2,14,8,11,0.434592316,14.1371669411541,6.143904122634796,,0.3412624,194.0,0.8922459667399631,194,20200221,333.0,1.0,0.434528977,0.029152946455856546,0.434528977,0.029152946455856546,True,True,True,True,True,True,True
49,50,2,14,9,12,0.783036119,9.16297857297023,7.174943180258768,,0.6148769,194.0,0.8909750878590494,194,20200221,390.0,1.0,0.7821039105,0.23838482009483092,0.7821039105,0.23838482009483092,True,True,True,True,True,True,True
