64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa
3 6 21 24 -0.003930205 3.8893374938570826
3 6 22 25 -0.003297089 3.8486135312924707
3 6 23 26 -0.002670997 3.645503511341686
3 6 24 27 -0.002265187 3.5866125984563895
3 6 25 28 -0.00196471 3.583373797246651
3 6 26 29 -0.001751269 3.6556230525177886
3 6 27 30 -0.001523116 3.6174675873407884
3 6 28 31 -0.00134281 3.609214182220596
3 6 29 32 -0.001185795 3.58910500297927
3 6 30 33 -0.001095809 3.7179923444685983
3 6 31 34 -0.000984254 3.7277286357755415
3 6 32 35 -0.000915379 3.8547803520077695
3 6 33 36 -0.000795661 3.7119694872366265
3 6 34 37 -0.000703458 3.6233825025907245
3 6 35 38 -0.000620722 3.5187671293304708
3 6 36 39 -0.000565998 3.5207076143181513
3 6 37 40 -0.000521876 3.5521150808940716
3 6 39 42 -0.000463966 3.751842263895079
3 6 40 43 -0.000436923 3.8372748476142537
3 6 45 48 -0.000300137 3.8612090555375542
3 6 55 58 -0.000150863 3.6899647757079683
3 6 57 60 -0.000149275 4.089811003382732
3 6 58 61 -0.000140958 4.080948586214987
3 6 60 63 -0.000127679 4.115444090365566
3 6 62 1 -0.723949082 7.558300845401759
3 6 63 2 -2.14305437 8.96631823147251
4 7 5 8 3.57500722 8.984973135105959
4 7 6 9 -0.782909202 12.297908987155264
4 7 8 11 -1.97065013 9.630413288539193
4 7 9 12 -0.574935169 8.027609347648006
4 7 10 13 -0.246129947 6.9591602999127975
4 7 11 14 -0.126191715 6.166890563367283
4 7 12 15 -0.0738784 5.6734538348636665
4 7 13 16 -0.044992904 5.08857756012257
4 7 14 17 -0.030733552 4.881255226419284
4 7 15 18 -0.022576459 4.854493249655373
4 7 16 19 -0.016117774 4.557193235155846
4 7 17 20 -0.011596443 4.20983912689286
4 7 18 21 -0.008880915 4.057931608154709
4 7 19 22 -0.006977702 3.9457975215849865
4 7 20 23 -0.005808841 4.00667201442968
4 7 21 24 -0.00478729 3.9771691027952634
4 7 22 25 -0.00395742 3.9162695037383277
4 7 23 26 -0.003182499 3.714855351106615
4 7 24 27 -0.00266968 3.643706007217032
4 7 25 28 -0.002289372 3.6249062252932323
4 7 26 29 -0.002017726 3.68006803977345
4 7 27 30 -0.001774285 3.703666968202215
4 7 28 31 -0.001555195 3.693656625296076
4 7 29 32 -0.001378916 3.7062601434982576
4 7 30 33 -0.001242283 3.76008005634709
4 7 31 34 -0.001089385 3.696196225965404
4 7 32 35 -0.000984336 3.7280391996626414
4 7 33 36 -0.000856529 3.606955326837149
4 7 34 37 -0.000772169 3.6023730797287015
4 7 35 38 -0.00067072 3.4547550985810815
4 7 36 39 -0.000625861 3.5478992436709156
4 7 37 40 -0.000572954 3.563976392944926
4 7 38 41 -0.000530561 3.611228969016087
4 7 39 42 -0.0005046 3.74823000620782
4 7 40 43 -0.000464936 3.7596861296007087
4 7 41 44 -0.000424516 3.7283104098658404
4 7 42 45 -0.000379101 3.608010521137872
4 7 43 46 -0.000358429 3.6889002037531133
4 7 44 47 -0.000325142 3.6114417250008786
4 7 46 49 -0.000281652 3.623402822411976
4 7 47 50 -0.000263889 3.6440550870300976
4 7 50 53 -0.000224979 3.8057628019566647
4 7 54 57 -0.000156466 3.4012697733785084
