name,xmin,xmax,ymin,ymax,zmin,zmax
d000_025,10,20,-0.25,-0.00,,
d025_050,10,20,-0.50,-0.25,,
d050_075,10,20,-0.75,-0.50,,
d075_100,10,20,-1.00,-0.75,,
d100_150,10,20,-1.50,-1.00,,
