64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1907
# a b m n r rhoa
2 5 36 39 -0.000504273 3.4323014052910956
2 5 37 40 -0.000464909 3.4534004438289165
2 5 38 41 -0.000432886 3.5005151029353123
2 5 39 42 -0.00040338 3.5426835575848328
2 5 40 43 -0.000381536 3.631185098938961
2 5 41 44 -0.000347722 3.578705285145566
2 5 42 45 -0.000321023 3.565690857794308
2 5 43 46 -0.000286479 3.427601225586931
2 5 46 49 -0.000248017 3.670229391189032
2 5 47 50 -0.00022907 3.6270089309555065
2 5 49 52 -0.000205528 3.709103075410173
2 5 50 53 -0.000202981 3.902623744719887
2 5 51 54 -0.000186826 3.8218350451100487
2 5 52 55 -0.000177333 3.8548782017980336
2 5 53 56 -0.000167176 3.857060673544863
2 5 59 62 -0.000114002 3.674596896826065
2 5 60 63 -0.00011283 3.831973294819489
2 5 61 64 -0.000100384 3.589001110859241
2 5 62 1 -2.07247179 8.671008003819084
2 5 64 3 -1.44237799 9.047887482058872
3 6 4 7 3.5164046 8.837688686727468
3 6 5 8 -0.804071359 12.630323371981834
3 6 7 10 -1.75027492 8.553456847342494
3 6 8 11 -0.538395639 7.517421263143012
3 6 9 12 -0.237960384 6.728171347978247
3 6 10 13 -0.124769237 6.097375174383168
3 6 11 14 -0.072270051 5.54994149835057
3 6 12 15 -0.045524242 5.148670472188001
3 6 13 16 -0.029642432 4.707958133956603
3 6 14 17 -0.021216741 4.562120479752224
3 6 15 18 -0.016127637 4.559981932706657
3 6 16 19 -0.011911919 4.3243659010421105
3 6 17 20 -0.008802866 4.022268897264573
