meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5, 1.79662, 4.00667, 7.19846,, 1.15357, 220.000,0.131921,2020-04-06 12:03:52,64,1, 1.78374, 1.44469,,,True,True,True,True,True,True,True
2,1,13,3,6,0.670157, 9.16298, 6.14064,,0.430292, 220.000,0.0923326,2020-04-06 12:03:52,129,1,0.669866,0.0870748,,,True,True,True,True,True,True,True
3,1,13,4,7,0.418052, 14.1372, 5.91007,,0.268422, 220.000,0.104649,2020-04-06 12:03:52,196,1,0.417786,0.127308,,,True,True,True,True,True,True,True
4,1,13,5,8,0.303220, 17.2480, 5.22993,,0.194690, 220.000,0.102008,2020-04-06 12:03:52,266,1,0.303119,0.0663432,,,True,True,True,True,True,True,True
5,1,13,6,9,0.271155, 17.2480, 4.67687,,0.174102, 220.000,0.0931637,2020-04-06 12:03:52,339,1,0.271406,0.185330,,,True,True,True,True,True,True,True
6,1,13,7,10,0.397537, 14.1372, 5.62004,,0.255249, 220.000,0.0898730,2020-04-06 12:03:52,415,1,0.397960,0.212917,,,True,True,True,True,True,True,True
7,1,13,8,11,0.765890, 9.16298, 7.01784,,0.491760, 220.000,0.0932974,2020-04-06 12:03:52,494,1,0.765390,0.130796,,,True,True,True,True,True,True,True
8,1,13,9,12, 2.27829, 4.00667, 9.12837,, 1.46284, 220.000,0.0991907,2020-04-06 12:03:52,576,1, 2.26947,0.777856,,,True,True,True,True,True,True,True
9,1,23,2,7, 1.92296, 3.70377, 7.12220,, 1.22242, 252.000,0.537522,2020-04-06 12:03:55,65,1, 1.90954, 1.40580,,,True,True,True,True,True,True,True
10,1,23,3,8,0.725087, 8.40426, 6.09382,,0.460938, 252.000,0.569882,2020-04-06 12:03:55,131,1,0.724923,0.0451840,,,True,True,True,True,True,True,True
11,1,23,4,9,0.411434, 13.8317, 5.69082,,0.261548, 252.000,0.570755,2020-04-06 12:03:55,199,1,0.411167,0.129565,,,True,True,True,True,True,True,True
12,1,23,5,10,0.259874, 19.6035, 5.09446,,0.165202, 252.000,0.568697,2020-04-06 12:03:55,270,1,0.259811,0.0484879,,,True,True,True,True,True,True,True
13,1,23,6,11,0.186727, 25.2317, 4.71144,,0.118703, 252.000,0.572271,2020-04-06 12:03:55,344,1,0.186732,0.00518765,,,True,True,True,True,True,True,True
14,1,23,7,12,0.143098, 30.1593, 4.31575,,0.0909676, 252.000,0.573061,2020-04-06 12:03:55,421,1,0.143099,0.00155137,,,True,True,True,True,True,True,True
15,1,23,8,13,0.126467, 33.8325, 4.27871,,0.0803952, 252.000,0.565083,2020-04-06 12:03:55,501,1,0.126404,0.100378,,,True,True,True,True,True,True,True
16,1,23,9,14,0.123637, 35.7978, 4.42592,,0.0785958, 252.000,0.572041,2020-04-06 12:03:55,584,1,0.123517,0.193678,,,True,True,True,True,True,True,True
17,1,23,10,15,0.112033, 35.7978, 4.01054,,0.0746233, 242.000,0.0907223,2020-04-06 12:03:58,630,1,0.111816,0.389305,,,True,True,True,True,True,True,True
18,1,23,11,16,0.127535, 33.8325, 4.31484,,0.0849489, 242.000,0.0860517,2020-04-06 12:03:58,678,1,0.127440,0.149162,,,True,True,True,True,True,True,True
19,1,23,12,17,0.148872, 30.1593, 4.48987,,0.0991608, 242.000,0.104275,2020-04-06 12:03:58,728,1,0.148625,0.331967,,,True,True,True,True,True,True,True
20,1,23,13,18,0.187767, 25.2317, 4.73768,,0.125068, 242.000,0.0883518,2020-04-06 12:03:58,779,1,0.187363,0.431041,,,True,True,True,True,True,True,True
21,1,23,14,19,0.265427, 19.6035, 5.20332,,0.176796, 242.000,0.0884068,2020-04-06 12:03:58,831,1,0.264641,0.594730,,,True,True,True,True,True,True,True
