meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5, 2.25060, 4.00667, 9.01741, 1.00000, 1.25913, 263.000,0.125468,2020-02-24 12:27:33,41,1, 2.24636,0.377707, 2.24636,0.377707,True,True,True,True,True,True,True
2,1,13,3,6,0.814046, 9.16298, 7.45908, 1.00000,0.455428, 263.000,0.115627,2020-02-24 12:27:33,84,1,0.814021,0.00610156,0.814021,0.00610156,True,True,True,True,True,True,True
3,1,13,4,7,0.462634, 14.1372, 6.54034, 1.00000,0.258827, 263.000,0.124562,2020-02-24 12:27:33,129,1,0.462285,0.151203,0.462285,0.151203,True,True,True,True,True,True,True
4,1,13,5,8,0.332303, 17.2480, 5.73155, 1.00000,0.185911, 263.000,0.100102,2020-02-24 12:27:33,176,1,0.332255,0.0288621,0.332255,0.0288621,True,True,True,True,True,True,True
5,1,13,6,9,0.313973, 17.2480, 5.41539, 1.00000,0.175656, 263.000,0.105946,2020-02-24 12:27:33,226,1,0.313982,0.00568536,0.313982,0.00568536,True,True,True,True,True,True,True
6,1,13,7,10,0.423057, 14.1372, 5.98083, 1.00000,0.236685, 263.000,0.124343,2020-02-24 12:27:33,278,1,0.423529,0.222654,0.423529,0.222654,True,True,True,True,True,True,True
7,1,13,8,11,0.776766, 9.16298, 7.11749, 1.00000,0.434572, 263.000,0.121177,2020-02-24 12:27:34,332,1,0.776378,0.0998813,0.776378,0.0998813,True,True,True,True,True,True,True
8,1,13,9,12, 2.14937, 4.00667, 8.61180, 1.00000, 1.20249, 263.000,0.115868,2020-02-24 12:27:34,389,1, 2.14490,0.416786, 2.14490,0.416786,True,True,True,True,True,True,True
9,1,23,2,7, 2.39062, 3.70377, 8.85430, 1.00000, 1.50643, 251.000,0.0438917,2020-02-24 12:27:36,42,1, 2.38617,0.372766, 2.38617,0.372766,True,True,True,True,True,True,True
10,1,23,3,8,0.872261, 8.40426, 7.33071, 1.00000,0.549651, 251.000,0.0425179,2020-02-24 12:27:36,86,1,0.872232,0.00656224,0.872232,0.00656224,True,True,True,True,True,True,True
11,1,23,4,9,0.460422, 13.8317, 6.36841, 1.00000,0.290133, 251.000,0.0569739,2020-02-24 12:27:36,132,1,0.460337,0.0369998,0.460337,0.0369998,True,True,True,True,True,True,True
12,1,23,5,10,0.284646, 19.6035, 5.58008, 1.00000,0.179368, 251.000,0.0651173,2020-02-24 12:27:36,180,1,0.284639,0.00498315,0.284639,0.00498315,True,True,True,True,True,True,True
13,1,23,6,11,0.199611, 25.2317, 5.03653, 1.00000,0.125784, 251.000,0.0656681,2020-02-24 12:27:36,231,1,0.199608,0.00318424,0.199608,0.00318424,True,True,True,True,True,True,True
14,1,23,7,12,0.153468, 30.1593, 4.62848, 1.00000,0.0967070, 251.000,0.0427063,2020-02-24 12:27:36,284,1,0.153651,0.238134,0.153651,0.238134,True,True,True,True,True,True,True
15,1,23,8,13,0.135394, 33.8325, 4.58071, 1.00000,0.0853176, 251.000,0.0342251,2020-02-24 12:27:36,339,1,0.135424,0.0448960,0.135424,0.0448960,True,True,True,True,True,True,True
16,1,23,9,14,0.127239, 35.7978, 4.55488, 1.00000,0.0801791, 251.000,0.0515097,2020-02-24 12:27:36,397,1,0.127234,0.00787839,0.127234,0.00787839,True,True,True,True,True,True,True
17,1,23,10,15,0.123790, 35.7978, 4.43140, 1.00000,0.0725384, 257.000, 0.00000,2020-02-24 12:27:39,456,1,0.123769,0.0330178,0.123769,0.0330178,True,True,True,True,True,True,True
18,1,23,11,16,0.136301, 33.8325, 4.61140, 1.00000,0.0798695, 257.000, 0.00000,2020-02-24 12:27:39,500,1,0.136340,0.0579198,0.136340,0.0579198,True,True,True,True,True,True,True
19,1,23,12,17,0.162777, 30.1593, 4.90925, 1.00000,0.0953844, 257.000,0.0465485,2020-02-24 12:27:39,545,1,0.162659,0.145395,0.162659,0.145395,True,True,True,True,True,True,True
20,1,23,13,18,0.205105, 25.2317, 5.17514, 1.00000,0.120187, 257.000,0.0639834,2020-02-24 12:27:39,591,1,0.205128,0.0223470,0.205128,0.0223470,True,True,True,True,True,True,True
21,1,23,14,19,0.295556, 19.6035, 5.79395, 1.00000,0.173190, 257.000,0.0512731,2020-02-24 12:27:39,638,1,0.295415,0.0956035,0.295415,0.0956035,True,True,True,True,True,True,True
22,1,23,15,20,0.453958, 13.8317, 6.27900, 1.00000,0.266011, 257.000, 0.00000,2020-02-24 12:27:39,686,1,0.453951,0.00332922,0.453951,0.00332922,True,True,True,True,True,True,True
23,1,23,16,21,0.870105, 8.40426, 7.31259, 1.00000,0.509864, 257.000,0.0697244,2020-02-24 12:27:39,735,1,0.870188,0.0191975,0.870188,0.0191975,True,True,True,True,True,True,True
24,1,23,17,22, 2.50354, 3.70377, 9.27254, 1.00000, 1.46703, 257.000,0.0484654,2020-02-24 12:27:39,785,1, 2.49928,0.340813, 2.49928,0.340813,True,True,True,True,True,True,True
25,1,55,2,9, 2.44026, 3.57865, 8.73284, 1.00000, 1.69840, 218.000,0.153645,2020-02-24 12:27:41,43,1, 2.43596,0.352906, 2.43596,0.352906,True,True,True,True,True,True,True
26,1,55,5,12,0.291206, 19.3511, 5.63517, 1.00000,0.202676, 218.000,0.142987,2020-02-24 12:27:42,184,1,0.291242,0.0248319,0.291242,0.0248319,True,True,True,True,True,True,True
27,1,55,8,15,0.109709, 41.8032, 4.58620, 1.00000,0.0763565, 218.000,0.142751,2020-02-24 12:27:42,346,1,0.109723,0.0249346,0.109723,0.0249346,True,True,True,True,True,True,True
28,1,55,11,18,0.0624815, 69.0821, 4.31635, 1.00000,0.0434864, 218.000,0.145793,2020-02-24 12:27:42,510,1,0.0624453,0.115967,0.0624453,0.115967,True,True,True,True,True,True,True
29,1,55,14,21,0.0418533, 98.3450, 4.11607, 1.00000,0.0291294, 218.000,0.143498,2020-02-24 12:27:42,651,1,0.0419518,0.469444,0.0419518,0.469444,True,True,True,True,True,True,True
30,1,55,17,24,0.0327626, 125.845, 4.12300, 1.00000,0.0228023, 218.000,0.142091,2020-02-24 12:27:42,801,1,0.0328320,0.423270,0.0328320,0.423270,True,True,True,True,True,True,True
31,1,55,20,27,0.0280111, 147.403, 4.12893, 1.00000,0.0194954, 218.000,0.143624,2020-02-24 12:27:42,954,1,0.0280585,0.338029,0.0280585,0.338029,True,True,True,True,True,True,True
32,1,55,23,30,0.0258660, 159.296, 4.12034, 1.00000,0.0180024, 218.000,0.127205,2020-02-24 12:27:42,1107,1,0.0259176,0.397819,0.0259176,0.397819,True,True,True,True,True,True,True
33,1,55,26,33,0.0264099, 159.296, 4.20699, 1.00000,0.0186614, 221.000,0.155937,2020-02-24 12:27:44,1260,1,0.0265291,0.898042,0.0265291,0.898042,True,True,True,True,True,True,True
34,1,55,29,36,0.0286739, 147.403, 4.22662, 1.00000,0.0202611, 221.000,0.153990,2020-02-24 12:27:44,1413,1,0.0287853,0.773896,0.0287853,0.773896,True,True,True,True,True,True,True
35,1,55,32,39,0.0325337, 125.845, 4.09420, 1.00000,0.0229885, 221.000,0.160080,2020-02-24 12:27:44,1566,1,0.0325743,0.249166,0.0325743,0.249166,True,True,True,True,True,True,True
