meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,datetime,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
1,1,13,2,5, 1.67481, 4.00667, 6.71042, 1.00000, 1.64241, 146.000,0.141688,2020-05-22 12:32:54,64,1, 1.67359,0.146392, 1.67359,0.146392,True,True,True,True,True,True,True
2,1,13,3,6,0.661379, 9.16298, 6.06021, 1.00000,0.648584, 146.000,0.137022,2020-05-22 12:32:54,129,1,0.660480,0.272399,0.660480,0.272399,True,True,True,True,True,True,True
3,1,13,4,7,0.396995, 14.1372, 5.61238, 1.00000,0.389314, 146.000,0.136419,2020-05-22 12:32:55,196,1,0.396828,0.0842409,0.396828,0.0842409,True,True,True,True,True,True,True
4,1,13,5,8,0.285131, 17.2480, 4.91793, 1.00000,0.279615, 146.000,0.134292,2020-05-22 12:32:55,266,1,0.285026,0.0733300,0.285026,0.0733300,True,True,True,True,True,True,True
5,1,13,6,9,0.254154, 17.2480, 4.38364, 1.00000,0.249237, 146.000,0.131321,2020-05-22 12:32:55,339,1,0.254239,0.0667345,0.254239,0.0667345,True,True,True,True,True,True,True
6,1,13,7,10,0.347313, 14.1372, 4.91002, 1.00000,0.340594, 146.000,0.132298,2020-05-22 12:32:55,415,1,0.347347,0.0198165,0.347347,0.0198165,True,True,True,True,True,True,True
7,1,13,8,11,0.652593, 9.16298, 5.97970, 1.00000,0.639968, 146.000,0.130678,2020-05-22 12:32:55,494,1,0.652236,0.109622,0.652236,0.109622,True,True,True,True,True,True,True
8,1,13,9,12, 1.78170, 4.00667, 7.13870, 1.00000, 1.74723, 146.000,0.128672,2020-05-22 12:32:55,576,1, 1.77512,0.742382, 1.77512,0.742382,True,True,True,True,True,True,True
9,1,23,2,7, 1.79724, 3.70377, 6.65655, 1.00000, 1.11166, 117.000,0.113362,2020-05-22 12:32:57,65,1, 1.79639,0.0936943, 1.79639,0.0936943,True,True,True,True,True,True,True
10,1,23,3,8,0.708281, 8.40426, 5.95258, 1.00000,0.438099, 117.000,0.108720,2020-05-22 12:32:57,131,1,0.707548,0.207060,0.707548,0.207060,True,True,True,True,True,True,True
11,1,23,4,9,0.392029, 13.8317, 5.42242, 1.00000,0.242485, 117.000,0.120255,2020-05-22 12:32:57,199,1,0.391941,0.0447210,0.391941,0.0447210,True,True,True,True,True,True,True
12,1,23,5,10,0.245532, 19.6035, 4.81330, 1.00000,0.151871, 117.000,0.123921,2020-05-22 12:32:57,270,1,0.245528,0.00352954,0.245528,0.00352954,True,True,True,True,True,True,True
13,1,23,6,11,0.171908, 25.2317, 4.33754, 1.00000,0.106332, 117.000,0.125174,2020-05-22 12:32:57,344,1,0.171982,0.0857659,0.171982,0.0857659,True,True,True,True,True,True,True
14,1,23,7,12,0.133502, 30.1593, 4.02634, 1.00000,0.0825762, 117.000,0.129941,2020-05-22 12:32:57,421,1,0.133461,0.0616344,0.133461,0.0616344,True,True,True,True,True,True,True
15,1,23,8,13,0.118511, 33.8325, 4.00951, 1.00000,0.0733032, 117.000,0.107362,2020-05-22 12:32:57,501,1,0.118507,0.00561569,0.118507,0.00561569,True,True,True,True,True,True,True
16,1,23,9,14,0.114090, 35.7978, 4.08416, 1.00000,0.0705688, 117.000,0.126543,2020-05-22 12:32:57,584,1,0.114114,0.0426345,0.114114,0.0426345,True,True,True,True,True,True,True
17,1,23,10,15,0.109033, 35.7978, 3.90313, 1.00000,0.0683336, 121.000,0.148829,2020-05-22 12:33:00,630,1,0.108988,0.0819870,0.108988,0.0819870,True,True,True,True,True,True,True
18,1,23,11,16,0.118380, 33.8325, 4.00511, 1.00000,0.0741920, 121.000,0.148129,2020-05-22 12:33:00,678,1,0.118396,0.0262171,0.118396,0.0262171,True,True,True,True,True,True,True
19,1,23,12,17,0.140471, 30.1593, 4.23651, 1.00000,0.0880369, 121.000,0.156525,2020-05-22 12:33:00,728,1,0.140500,0.0409082,0.140500,0.0409082,True,True,True,True,True,True,True
20,1,23,13,18,0.180886, 25.2317, 4.56406, 1.00000,0.113366, 121.000,0.155426,2020-05-22 12:33:00,779,1,0.180775,0.123231,0.180775,0.123231,True,True,True,True,True,True,True
21,1,23,14,19,0.260165, 19.6035, 5.10016, 1.00000,0.163052, 121.000,0.148541,2020-05-22 12:33:00,831,1,0.260105,0.0461417,0.260105,0.0461417,True,True,True,True,True,True,True
