vtk_name,datetime,reg_name,reg_group,xmin,xmax,ymin,ymax,zmin,zmax,ravg,rnum,datetimems
inversion/./GRAD_C_NOWEN20200224_1227_inv.vtk,2020-02-24 12:27:33,d100_150,,10,20,-1.5,-1.0,,,6.203029384152848,35.0,2020-02-24 12:27:33
inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,d000_025,,10,20,-0.25,-0.0,,,10.373119416129683,200.0,2020-02-28 14:17:03
inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,d025_050,,10,20,-0.5,-0.25,,,9.64558887367202,53.0,2020-02-28 14:17:03
inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,d050_075,,10,20,-0.75,-0.5,,,8.738826143673341,47.0,2020-02-28 14:17:03
inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,d075_100,,10,20,-1.0,-0.75,,,7.058472812516574,23.0,2020-02-28 14:17:03
inversion/./GRAD_C_NOWEN20200228_1416_inv.vtk,2020-02-28 14:17:03,d100_150,,10,20,-1.5,-1.0,,,6.125712814513117,35.0,2020-02-28 14:17:03
inversion/./GRAD_C_NOWEN20200309_1319_inv.vtk,2020-03-09 13:19:09,d000_025,,10,20,-0.25,-0.0,,,10.88120591500773,200.0,2020-03-09 13:19:09
inversion/./GRAD_C_NOWEN20200309_1319_inv.vtk,2020-03-09 13:19:09,d025_050,,10,20,-0.5,-0.25,,,9.489342799621715,53.0,2020-03-09 13:19:09
inversion/./GRAD_C_NOWEN20200309_1319_inv.vtk,2020-03-09 13:19:09,d050_075,,10,20,-0.75,-0.5,,,8.199534216412639,47.0,2020-03-09 13:19:09
inversion/./GRAD_C_NOWEN20200309_1319_inv.vtk,2020-03-09 13:19:09,d075_100,,10,20,-1.0,-0.75,,,6.152612349608578,23.0,2020-03-09 13:19:09
inversion/./GRAD_C_NOWEN20200309_1319_inv.vtk,2020-03-09 13:19:09,d100_150,,10,20,-1.5,-1.0,,,5.2975722671040115,35.0,2020-03-09 13:19:09
inversion/./GRAD_C_NOWEN20200317_1508_inv.vtk,2020-03-17 15:08:54,d000_025,,10,20,-0.25,-0.0,,,9.735436837752403,200.0,2020-03-17 15:08:54
inversion/./GRAD_C_NOWEN20200317_1508_inv.vtk,2020-03-17 15:08:54,d025_050,,10,20,-0.5,-0.25,,,9.006770029420096,53.0,2020-03-17 15:08:54
inversion/./GRAD_C_NOWEN20200317_1508_inv.vtk,2020-03-17 15:08:54,d050_075,,10,20,-0.75,-0.5,,,8.22879214212224,47.0,2020-03-17 15:08:54
inversion/./GRAD_C_NOWEN20200317_1508_inv.vtk,2020-03-17 15:08:54,d075_100,,10,20,-1.0,-0.75,,,6.628561100800548,23.0,2020-03-17 15:08:54
inversion/./GRAD_C_NOWEN20200317_1508_inv.vtk,2020-03-17 15:08:54,d100_150,,10,20,-1.5,-1.0,,,5.815286056116264,35.0,2020-03-17 15:08:54
