,k,rhoa,r
64,-13.962634015954636,1.0,-0.0716197243913529
65,-28.274333882308145,1.0,-0.03536776513153229
66,-48.869219055841214,1.0,-0.020462778397529406
67,-76.79448708775051,1.0,-0.013021768071155071
68,-113.09733552923261,1.0,-0.00884194128288307
69,-158.82496193148398,1.0,-0.006296239506932123
70,-215.0245638457016,1.0,-0.00465063145398395
71,-282.74333882308133,1.0,-0.0035367765131532306
72,-363.0284844148207,1.0,-0.0027546047842828027
73,-456.92719817211463,1.0,-0.00218853244893363
74,-565.4866776461632,1.0,-0.0017683882565766135
75,-689.7541203881602,1.0,-0.001449791991727789
76,-830.7767239493037,1.0,-0.00120369284691349
77,-989.6016858807833,1.0,-0.0010105075751866387
78,-1167.2762037338007,1.0,-0.0008566952678391546
79,-1364.8474750595656,1.0,-0.0007326826024690834
80,-1583.3626974092565,1.0,-0.0006315672344916479
81,-1823.86906833408,1.0,-0.000548284971417054
82,-2087.4137853852153,1.0,-0.0004790617016144013
83,-2375.044046113875,1.0,-0.00042104482299443365
84,-2687.807048071285,1.0,-0.000372050516318714
85,-3026.7499888085767,1.0,-0.00033038738042372347
86,-3392.9200658769864,1.0,-0.00029473137609610164
87,-3787.3644768276736,1.0,-0.00026403585029070344
88,-4211.130419211901,1.0,-0.000237465929679553
89,-4665.265090580819,1.0,-0.00021435009170625745
90,-5150.815688485627,1.0,-0.00019414400756669406
91,-5668.829410477594,1.0,-0.00017640326204766688
92,-6220.353454107875,1.0,-0.00016076256877969007
93,-6806.435016927535,1.0,-0.00014691978950992848
94,-7428.121296487948,1.0,-0.00013462354208900774
95,-8086.459490339976,1.0,-0.00012366351444591944
96,-8782.496796035577,1.0,-0.00011386283687019395
97,-9517.28041112493,1.0,-0.00010507203284996006
98,-10291.857533160337,1.0,-9.716418992179038e-05
99,-11107.275359691725,1.0,-9.003108031596999e-05
100,-11964.581088271543,1.0,-8.358002613064863e-05
101,-12864.821916449962,1.0,-7.773135193743508e-05
102,-13809.045041779282,1.0,-7.241630373240864e-05
103,-14798.297661809585,1.0,-6.757534027584337e-05
104,-15833.626974093131,1.0,-6.315672344916253e-05
105,-16916.080176179392,1.0,-5.9115349985640504e-05
106,-18046.704465621136,1.0,-5.541177902619251e-05
107,-19226.547039968704,1.0,-5.201141931107915e-05
108,-20456.65509677482,1.0,-4.8883847103511034e-05
109,-21738.075833590116,1.0,-4.600223164438408e-05
110,-23071.856447964212,1.0,-4.3342849425895974e-05
111,-24459.044137448964,1.0,-4.0884672122935145e-05
112,-25900.68609959503,1.0,-3.860901584439632e-05
113,-27397.829531956027,1.0,-3.64992416218091e-05
114,-28951.521632081847,1.0,-3.454049886248041e-05
115,-30562.8095975234,1.0,-3.2719504952876885e-05
116,-32232.74062583175,1.0,-3.102435537853665e-05
117,-33962.36191455721,1.0,-2.9444359686049172e-05
118,-35752.72066125325,1.0,-2.796989939520163e-05
119,-4.1838967582854725,1.0,-0.23901163383624982
120,-6.27289624827045,1.0,-0.15941599548625054
121,2.5132741228718345,1.0,0.3978873577297384
122,-15.70796326794897,1.0,-0.06366197723675812
123,-4.886921905584123,1.0,-0.204627783975294
124,-13.962634015954636,1.0,-0.0716197243913529
125,-28.274333882308145,1.0,-0.03536776513153229
126,-48.869219055841214,1.0,-0.020462778397529406
127,-76.79448708775051,1.0,-0.013021768071155071
128,-113.09733552923261,1.0,-0.00884194128288307
129,-158.82496193148398,1.0,-0.006296239506932123
130,-215.0245638457016,1.0,-0.00465063145398395
131,-282.74333882308133,1.0,-0.0035367765131532306
132,-363.0284844148207,1.0,-0.0027546047842828027
133,-456.92719817211463,1.0,-0.00218853244893363
134,-565.4866776461632,1.0,-0.0017683882565766135
135,-689.7541203881602,1.0,-0.001449791991727789
136,-830.7767239493037,1.0,-0.00120369284691349
137,-989.6016858807833,1.0,-0.0010105075751866387
138,-1167.2762037338007,1.0,-0.0008566952678391546
139,-1364.8474750595656,1.0,-0.0007326826024690834
140,-1583.3626974092565,1.0,-0.0006315672344916479
141,-1823.86906833408,1.0,-0.000548284971417054
142,-2087.4137853852153,1.0,-0.0004790617016144013
143,-2375.044046113875,1.0,-0.00042104482299443365
144,-2687.807048071285,1.0,-0.000372050516318714
145,-3026.7499888085767,1.0,-0.00033038738042372347
146,-3392.9200658769864,1.0,-0.00029473137609610164
147,-3787.3644768276736,1.0,-0.00026403585029070344
148,-4211.130419211901,1.0,-0.000237465929679553
149,-4665.265090580819,1.0,-0.00021435009170625745
150,-5150.815688485627,1.0,-0.00019414400756669406
151,-5668.829410477594,1.0,-0.00017640326204766688
152,-6220.353454107875,1.0,-0.00016076256877969007
153,-6806.435016927535,1.0,-0.00014691978950992848
154,-7428.121296487948,1.0,-0.00013462354208900774
155,-8086.459490339976,1.0,-0.00012366351444591944
156,-8782.496796035577,1.0,-0.00011386283687019395
157,-9517.28041112493,1.0,-0.00010507203284996006
158,-10291.857533160337,1.0,-9.716418992179038e-05
159,-11107.275359691725,1.0,-9.003108031596999e-05
160,-11964.581088271543,1.0,-8.358002613064863e-05
161,-12864.821916449962,1.0,-7.773135193743508e-05
162,-13809.045041779282,1.0,-7.241630373240864e-05
163,-14798.297661809585,1.0,-6.757534027584337e-05
164,-15833.626974093131,1.0,-6.315672344916253e-05
165,-16916.080176179392,1.0,-5.9115349985640504e-05
166,-18046.704465621136,1.0,-5.541177902619251e-05
167,-19226.547039968704,1.0,-5.201141931107915e-05
168,-20456.65509677482,1.0,-4.8883847103511034e-05
169,-21738.075833590116,1.0,-4.600223164438408e-05
170,-23071.856447964212,1.0,-4.3342849425895974e-05
171,-24459.044137448964,1.0,-4.0884672122935145e-05
172,-25900.68609959503,1.0,-3.860901584439632e-05
173,-27397.829531956027,1.0,-3.64992416218091e-05
174,-28951.521632081847,1.0,-3.454049886248041e-05
175,-30562.8095975234,1.0,-3.2719504952876885e-05
176,-32232.74062583175,1.0,-3.102435537853665e-05
177,-33962.36191455721,1.0,-2.9444359686049172e-05
178,-10.440376310059019,1.0,-0.09578198814888762
179,-4.1838967582854725,1.0,-0.23901163383624982
180,2.5132741228718345,1.0,0.3978873577297384
181,-15.70796326794897,1.0,-0.06366197723675812
182,-4.886921905584123,1.0,-0.204627783975294
183,-13.962634015954636,1.0,-0.0716197243913529
184,-28.274333882308145,1.0,-0.03536776513153229
185,-48.869219055841214,1.0,-0.020462778397529406
186,-76.79448708775051,1.0,-0.013021768071155071
187,-113.09733552923261,1.0,-0.00884194128288307
188,-158.82496193148398,1.0,-0.006296239506932123
189,-215.0245638457016,1.0,-0.00465063145398395
190,-282.74333882308133,1.0,-0.0035367765131532306
191,-363.0284844148207,1.0,-0.0027546047842828027
192,-456.92719817211463,1.0,-0.00218853244893363
193,-565.4866776461632,1.0,-0.0017683882565766135
194,-689.7541203881602,1.0,-0.001449791991727789
195,-830.7767239493037,1.0,-0.00120369284691349
196,-989.6016858807833,1.0,-0.0010105075751866387
197,-1167.2762037338007,1.0,-0.0008566952678391546
198,-1364.8474750595656,1.0,-0.0007326826024690834
199,-1583.3626974092565,1.0,-0.0006315672344916479
200,-1823.86906833408,1.0,-0.000548284971417054
201,-2087.4137853852153,1.0,-0.0004790617016144013
202,-2375.044046113875,1.0,-0.00042104482299443365
203,-2687.807048071285,1.0,-0.000372050516318714
204,-3026.7499888085767,1.0,-0.00033038738042372347
205,-3392.9200658769864,1.0,-0.00029473137609610164
206,-3787.3644768276736,1.0,-0.00026403585029070344
207,-4211.130419211901,1.0,-0.000237465929679553
208,-4665.265090580819,1.0,-0.00021435009170625745
209,-5150.815688485627,1.0,-0.00019414400756669406
210,-5668.829410477594,1.0,-0.00017640326204766688
211,-6220.353454107875,1.0,-0.00016076256877969007
212,-6806.435016927535,1.0,-0.00014691978950992848
213,-7428.121296487948,1.0,-0.00013462354208900774
214,-8086.459490339976,1.0,-0.00012366351444591944
215,-8782.496796035577,1.0,-0.00011386283687019395
216,-9517.28041112493,1.0,-0.00010507203284996006
217,-10291.857533160337,1.0,-9.716418992179038e-05
218,-11107.275359691725,1.0,-9.003108031596999e-05
219,-11964.581088271543,1.0,-8.358002613064863e-05
220,-12864.821916449962,1.0,-7.773135193743508e-05
221,-13809.045041779282,1.0,-7.241630373240864e-05
222,-14798.297661809585,1.0,-6.757534027584337e-05
223,-15833.626974093131,1.0,-6.315672344916253e-05
224,-16916.080176179392,1.0,-5.9115349985640504e-05
225,-18046.704465621136,1.0,-5.541177902619251e-05
226,-19226.547039968704,1.0,-5.201141931107915e-05
227,-20456.65509677482,1.0,-4.8883847103511034e-05
228,-21738.075833590116,1.0,-4.600223164438408e-05
229,-23071.856447964212,1.0,-4.3342849425895974e-05
230,-24459.044137448964,1.0,-4.0884672122935145e-05
231,-25900.68609959503,1.0,-3.860901584439632e-05
232,-27397.829531956027,1.0,-3.64992416218091e-05
233,-28951.521632081847,1.0,-3.454049886248041e-05
234,-30562.8095975234,1.0,-3.2719504952876885e-05
235,-32232.74062583175,1.0,-3.102435537853665e-05
236,-18.743791580333117,1.0,-0.05335099868743994
237,-10.440376310059019,1.0,-0.09578198814888762
238,-4.1838967582854725,1.0,-0.23901163383624982
239,2.5132741228718345,1.0,0.3978873577297384
240,-15.70796326794897,1.0,-0.06366197723675812
241,-4.886921905584123,1.0,-0.204627783975294
242,-13.962634015954636,1.0,-0.0716197243913529
243,-28.274333882308145,1.0,-0.03536776513153229
244,-48.869219055841214,1.0,-0.020462778397529406
