,fwd,measured,misfit,abs_misfit,percent_misfit
0,6.699305131181282,7.757760708349909,-1.058455577168627,1.058455577168627,0.1364382863768123
1,6.448963064959205,6.591924624897762,-0.14296155993855653,0.14296155993855653,0.02168737782567922
2,6.063691385222313,6.171479769452539,-0.10778838423022563,0.10778838423022563,0.017465565513761272
3,5.402853350619386,5.235736477850589,0.16711687276879772,0.16711687276879772,0.03191850343801178
4,5.042219861892271,4.757876235935702,0.28434362595656903,0.28434362595656903,0.05976272014159464
5,5.42393729077401,5.3727936524489035,0.051143638325106267,0.051143638325106267,0.009519002893735766
6,6.331978745938391,6.588477851388817,-0.256499105450426,0.256499105450426,0.03893146660519733
7,7.414483508271613,8.450511075228121,-1.0360275669565082,1.0360275669565082,0.12259939756703303
8,6.672657929266217,7.652406805743952,-0.9797488764777347,0.9797488764777347,0.12803146792226572
9,6.360106757829882,6.516383447498502,-0.15627668966861918,0.15627668966861918,0.0239821199792364
10,5.9073284928604854,5.944163662225102,-0.036835169364616505,0.036835169364616505,0.006196863252386939
11,5.300154930154375,5.176501974207005,0.12365295594737002,0.12365295594737002,0.02388735801966203
12,4.820378693199408,4.78386881923877,0.03650987396063776,0.03650987396063776,0.0076318718886709295
13,4.482748560698369,4.343462154366489,0.1392864063318795,0.1392864063318795,0.0320680603126367
14,4.402936988406067,4.39604639996263,0.006890588443436485,0.006890588443436485,0.0015674512542668021
15,4.38388759557103,4.450053786815672,-0.0661661912446414,0.0661661912446414,0.014868627305286571
16,4.2823474055619215,4.187329798700215,0.09501760686170613,0.09501760686170613,0.022691694093739747
17,4.390361825646803,4.352408653361741,0.037953172285061676,0.037953172285061676,0.008720038789498124
18,4.611555146874721,4.56262476485393,0.04893038202079136,0.04893038202079136,0.010724174031952822
19,4.941453893105427,4.789653537192276,0.1518003559131511,0.1518003559131511,0.031693389664701595
20,5.425459206914262,5.371901867894527,0.053557339019734584,0.053557339019734584,0.009969902715428035
21,5.878297689096378,5.56704034200488,0.3112573470914981,0.3112573470914981,0.05591074035209951
22,6.752243638332204,6.681703582161311,0.0705400561708931,0.0705400561708931,0.010557196275395938
23,8.158721695559054,8.644301719338719,-0.485580023779665,0.485580023779665,0.05617342378197454
24,5.702928210828228,5.738917927312762,-0.03598971648453464,0.03598971648453464,0.006271167655709403
25,5.187625275989467,5.066823386038807,0.12080188995065999,0.12080188995065999,0.023841740820001567
26,4.789100529871576,4.726671498839509,0.06242903103206743,0.06242903103206743,0.013207820989335728
27,4.497695149724715,4.3826597116387775,0.11503543808593708,0.11503543808593708,0.026247859896684215
28,4.383506447567136,4.32328128312886,0.0602251644382763,0.0602251644382763,0.013930429341550948
29,4.346561934758907,4.387401269207528,-0.04083933444862087,0.04083933444862087,0.009308319878386108
30,4.251083618782199,4.268098041595751,-0.01701442281355181,0.01701442281355181,0.003986417989402718
31,4.173177591746085,4.210914081037361,-0.03773648929127571,0.03773648929127571,0.008961590895718135
32,4.107259474015457,4.197243364061226,-0.08998389004576879,0.08998389004576879,0.02143880691223512
33,4.053511039227011,4.121602192627713,-0.06809115340070182,0.06809115340070182,0.016520554439362463
34,4.045571137937387,4.143106609939738,-0.09753547200235158,0.09753547200235158,0.023541627378922368
35,4.069589813289744,4.220307934993331,-0.15071812170358712,0.15071812170358712,0.03571258875540448
36,4.048509592027848,4.183854791062378,-0.13534519903452935,0.13534519903452935,0.032349401638808326
37,4.031590260974661,4.159700983657642,-0.1281107226829814,0.1281107226829814,0.03079806053038291
38,4.02833204128303,4.187013127274817,-0.15868108599178665,0.15868108599178665,0.03789839705973569
39,4.014447657376858,4.168302775477696,-0.15385511810083763,0.15385511810083763,0.03691073474939822
40,4.008051351062627,4.193166833142563,-0.18511548207993567,0.18511548207993567,0.04414693940073955
41,4.010238598863995,4.205963816834676,-0.195725217970681,0.195725217970681,0.046535164469859815
42,4.0069581992448695,4.204083934352042,-0.19712573510717224,0.19712573510717224,0.046889105494882184
43,4.024652250768902,4.2202587812735715,-0.19560653050466925,0.19560653050466925,0.046349416147803135
44,4.027433111756906,4.2112667427733745,-0.18383363101646832,0.18383363101646832,0.043652810958111556
45,4.0374214063463105,4.221030499494303,-0.18360909314799212,0.18360909314799212,0.04349864166344907
46,3.996364898879012,4.158631110654219,-0.16226621177520695,0.16226621177520695,0.039019140543504444
47,3.9811192061633833,4.145865890993143,-0.16474668482975963,0.16474668482975963,0.03973758176492644
48,4.000724050007228,4.175894896562548,-0.17517084655532056,0.17517084655532056,0.04194809756814404
49,4.00732560670663,4.169877984563387,-0.16255237785675725,0.16255237785675725,0.0389825262174374
50,4.045205524983918,4.228318818884558,-0.18311329390064035,0.18311329390064035,0.0433064065753079
51,4.046241386677687,4.1952071887191735,-0.14896580204148613,0.14896580204148613,0.03550856854985664
52,4.037392211439753,4.156475299634585,-0.11908308819483171,0.11908308819483171,0.028650017048170804
53,4.050690907428445,4.162904651020719,-0.11221374359227454,0.11221374359227454,0.02695563626823891
54,4.08975164184442,4.185983370295933,-0.09623172845151284,0.09623172845151284,0.022989037446823308
55,4.115096535269774,4.178022635506783,-0.06292610023700895,0.06292610023700895,0.015061215729717125
56,4.17814267128969,4.240039136014579,-0.061896464724888745,0.061896464724888745,0.01459808806931633
57,4.230650618657685,4.264619121301329,-0.033968502643643816,0.033968502643643816,0.007965190249693034
58,4.310620332517408,4.275423136874382,0.03519719564302637,0.03519719564302637,0.008232447296142448
59,4.503273681199137,4.457064397104552,0.04620928409458536,0.04620928409458536,0.010367650089283958
